Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,RandomSearch-30_mean,RandomSearch-30_std,RandomSearch-30_budget,RandomSearch-30_runtime_mean,RandomSearch-30_runtime_std,RandomSearch-30_tier,RandomSearch-50_mean,RandomSearch-50_std,RandomSearch-50_budget,RandomSearch-50_runtime_mean,RandomSearch-50_runtime_std,RandomSearch-50_tier,RandomSearch-100_mean,RandomSearch-100_std,RandomSearch-100_budget,RandomSearch-100_runtime_mean,RandomSearch-100_runtime_std,RandomSearch-100_tier,RandomSearch-200_mean,RandomSearch-200_std,RandomSearch-200_budget,RandomSearch-200_runtime_mean,RandomSearch-200_runtime_std,RandomSearch-200_tier
FM-500-100-1.00-SAT-1,10000,0.32873075947170066,0.02537302528988127,30,0.4748085021972656,0.023171229958903663,2,0.310709850498743,0.014455738208597595,50,0.8958488464355469,0.064113796748564,1,0.29734722510691275,0.0073921521447959685,100.0,2.893799889087677,0.2895167582677479,1.0,0.29206859755540476,0.002568504211164286,200,5.670822751522064,0.43605751856820096,1,0.35570440342300946,0.03228423990143144,30,0.22552492618560788,0.001173543397038212,3,0.3430415891365786,0.023026701290633795,50,0.37090601921081545,0.0016833384445771266,3,0.3298092565625273,0.02130774480080656,100,0.9583547592163086,0.009750728582377481,2,0.31888588507843907,0.016492393775726272,200,1.4454509496688843,0.0100742934361983,1
HSMGP_num,3456,0.009360983955729024,0.0048849963969331235,30,0.14355498552322382,0.003423589535429016,2,0.0065952307085379806,0.0028933971539610074,50,0.24507457017898554,0.00817413068458819,1,0.0038876183345322645,0.0013886235512317574,100.0,0.7188671827316284,0.03223653843957698,1.0,0.00268331354630088,0.0009537001516823701,200,1.3974017739295959,0.06331439764818488,1,0.013049630747440515,0.009292821183648287,30,0.19454053640365596,0.0020655836577611894,3,0.009911451452322891,0.005233969799598176,50,0.1834104537963867,0.002360214496026436,2,0.00839715497450622,0.0037677914603085993,100,0.3670830249786377,0.0036764295628668405,2,0.006132104004431914,0.0031867485818880582,200,0.6707687020301819,0.0032772325537687923,1
HSQLDB,864,0.0023132417008482347,0.0008358248190488725,30,0.14455200433731075,0.0068215221593753055,1,0.00212520154976876,0.0006794363509191151,50,0.2640703797340393,0.015702574814915726,1,0.0016922008379361552,7.750282750107084e-05,100.0,0.558160126209259,0.0328418361055869,1.0,0.0016088007413008298,4.368202570009043e-05,200,1.2469638466835022,0.07558767037701923,1,0.00400307965414485,0.0021196824807662843,30,0.13563860654830928,0.000740820565494924,2,0.00354161668564471,0.0021609969746569403,50,0.2850966930389404,0.006543770311530864,2,0.0027969388487336646,0.0011073420113083758,100,0.5156782388687133,0.010684376392293091,1,0.002014819065657065,0.0005529614461590598,200,0.6680694818496704,0.006951086402074393,1
Health-ClosedIssues0000,10000,0.1854922942386426,0.030817196446781055,30,0.35265369415283204,0.022835636723112222,1,0.16692007818836954,0.020567770417081462,50,0.7085200905799866,0.0817406213805811,1,0.14835694672908875,0.00981258648572437,100.0,1.1859367489814758,0.07592361697045712,1.0,0.14098372014687993,0.004681290502791263,200,2.3457741022109984,0.03390677580049335,1,0.2436035472793674,0.08124869683254071,30,0.3181367516517639,0.002193642472434185,2,0.1971589273666558,0.04340968601686768,50,0.5050782799720764,0.0030483730005228644,1,0.1762449802718085,0.01737836565604451,100,1.1322777628898621,0.010066498436576985,1,0.16190651069979456,0.015028483930107502,200,1.7298658847808839,0.26354394172901296,1
Health-ClosedIssues0001,10000,0.45295331654092913,0.017252824289983936,30,0.35251606702804567,0.025693483024021004,2,0.4436145591117232,0.024083496863583492,50,0.6277548193931579,0.03488445926676207,1,0.4373317094466077,0.02620538736869666,100.0,1.1855552077293396,0.006343761757650866,1.0,0.4345011094693326,0.025157281421943328,200,2.3418216586112974,0.012811609148994532,1,0.4534503448138981,0.021031773269409207,30,0.40731579065322876,0.0016571025195102475,2,0.4443007046898203,0.026285755972866955,50,0.7484879851341247,0.006371653432547473,1,0.43980374627476343,0.024623764109980874,100,1.3928111433982848,0.17468392667134175,1,0.43399445469380665,0.025114866626182092,200,2.730592596530914,0.006522996482587438,1
Health-ClosedIssues0002,10000,0.17882779636638302,0.007008487557915416,30,0.378667950630188,0.03654641038926818,3,0.17874635694213398,0.007000203307603153,50,0.5910214304924011,0.043676585558332995,3,0.16018827865055524,0.03638877889327388,100.0,1.2258816957473755,0.07500335138218359,1.0,0.14231084594813914,0.04649413827247885,200,2.5565746426582336,0.1430076282650122,1,0.1788156469320195,0.007005811315925642,30,0.44913448095321656,0.006114469202716146,3,0.17424291459639574,0.020737231829568176,50,0.7626664400100708,0.030877180700761262,2,0.16920274124214613,0.028554942598215186,100,1.2541535377502442,0.1634720141934868,2,0.15876852000508013,0.03960955846480239,200,2.3546847105026245,0.19369641934670703,1
Health-ClosedIssues0003,10000,0.18840529519174076,0.038358596757951176,30,0.596832275390625,0.0426050427390693,2,0.17382364545281428,0.029896818800352873,50,1.0756274819374085,0.060299948044387715,1,0.14932121750753924,0.005482614141736436,100.0,1.3301778197288514,0.13654323472606905,1.0,0.14440987931521682,0.0041123475659546995,200,4.351706683635712,0.15165823874542153,1,0.21397280771566315,0.040386414560268445,30,0.4511310696601868,0.006260485310838503,3,0.19247584490314723,0.036260887501976966,50,0.7460267424583436,0.007598291625535225,2,0.17094856255900365,0.02797369303225981,100,1.2298029780387878,0.13883731526133133,1,0.15660613307214297,0.013291947421334393,200,2.4198301672935485,0.20008476960635502,1
Health-ClosedIssues0004,10000,0.28819520511720587,0.011322737474601356,30,0.5803221464157104,0.04186579352582298,2,0.2803220488814542,0.007147981990958011,50,0.946501362323761,0.04222990472023305,1,0.27580900007668935,0.007657103550275125,100.0,2.023308074474335,0.05124057570495054,1.0,0.27214149242704033,0.006298608336165378,200,3.9299302816390993,0.027776478875623404,1,0.292052620866614,0.011274834418332188,30,0.4552894353866577,0.001606700236053376,2,0.2870530059384997,0.008469782539811831,50,0.6474965572357178,0.08715964140053997,2,0.2804625666687478,0.007928082518774532,100,1.2393875122070312,0.14079963287141936,1,0.2767621828363317,0.0070817035639497644,200,2.5247328758239744,0.20946691620985955,1
Health-ClosedIssues0005,10000,0.24017655618732206,0.004713909364272751,30,0.5846823215484619,0.043874013416679715,3,0.23693643168421463,0.0054321586751914204,50,0.9093310832977295,0.05413032641126922,2,0.23475594693836838,0.005362351203304825,100.0,1.9337641954421998,0.04858611358470974,1.0,0.23203384793689413,0.004554122630428329,200,3.638904404640198,0.15804484637889563,1,0.24040169914290127,0.004658361305913099,30,0.4779391407966614,0.009475388484183254,3,0.23808492129231767,0.0048390089749992034,50,0.7982797622680664,0.01529206066869052,2,0.2374768892684561,0.004801781863245757,100,1.284162735939026,0.1675231768460196,2,0.23439538513200925,0.004907314209612417,200,2.5699788212776182,0.276946956673644,1
Health-ClosedIssues0006,10000,0.11704846643100401,0.0116632886752796,30,0.5111225008964538,0.06125946925125908,3,0.10986377267536726,0.01396807110920043,50,0.8261987805366516,0.055022505687676374,2,0.10198000764514148,0.009777608810064385,100.0,2.0758312940597534,0.04446216147952547,1.0,0.09579630120861896,0.011905564167814365,200,3.5689719557762145,0.1728552799004128,1,0.12342376603815867,0.008522299168281337,30,0.46575491428375243,0.005287718617659803,4,0.11802956448020305,0.0074000705597693965,50,0.7833224058151245,0.014296787162026309,3,0.11109920642574841,0.008129921259893563,100,1.3854548692703248,0.18274184208464006,2,0.10520206099025911,0.010815396147189668,200,3.655583345890045,0.0559326323976284,1
