Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier
pom3a,20000,0.17606699342789028,0.02373227394697259,30,7.102701544761658,0.5978803674083703,3,0.16202013176227165,0.02093837999873926,50,11.873443818092346,1.280950676045599,2,0.13923208835619807,0.015138886155658077,100,26.80870404243469,3.5790686127348845,1,0.11375125028215871,0.013238819824495745,200.0,64.10343831777573,4.8740771199465245,1.0,0.20068507129064406,0.022832426219381547,30.0,0.6138934016227722,0.012630134822718003,4.0,0.1832283652062179,0.02147609091354186,50,0.6473968982696533,0.08543967541350539,3,0.1577945447921872,0.013832208482292826,100,1.3591325640678407,0.14046315687573732,2,0.1372303808068158,0.012638612224453971,200,3.6116132974624633,0.15191682750468558,1
pom3b,20000,0.18483841446832927,0.024917859514881097,30,7.085191464424133,0.7678040563680149,2,0.163394710615431,0.025604490211586756,50,11.444038808345795,1.1131546908803485,1,0.13734139106527773,0.014901933333396851,100,25.133128809928895,2.9236176375294702,1,0.12255323406289734,0.016739203337577734,200.0,50.40756845474243,5.705736722139,1.0,0.203962508003882,0.025588603542701444,30.0,0.6451017022132873,0.01212731682007081,3.0,0.1798527618474614,0.020019256599915703,50,0.9753936886787414,0.009579865659731209,2,0.15894206090684407,0.014628360962459376,100,1.415399444103241,0.023254562830945017,1,0.13895796977202785,0.016517492543728807,200,2.5960015773773195,0.26104892465531243,1
pom3c,20000,0.32109224486372484,0.02186913646395918,30,7.118179535865783,0.8745904183251481,3,0.29710053957353744,0.020868965521991693,50,11.433707308769225,1.228461213666114,2,0.26593005691094607,0.017557433709310143,100,25.855080795288085,3.0751313711294985,1,0.24062175036315608,0.018008503125387532,200.0,50.6032091498375,5.487059063456086,1.0,0.335364342093403,0.032656267790420926,30.0,0.642087209224701,0.014286795209407994,4.0,0.3156225595953222,0.02657950040491227,50,0.5905839800834656,0.014168923538529502,3,0.2845239005870565,0.02149056150197527,100,1.3363470196723939,0.15628816344380078,1,0.26259003244050794,0.014594679348296764,200,4.087295627593994,0.06628966687475055,1
pom3d,500,0.2017332211726847,0.018107883465427,30,7.052054619789123,0.7800597696713039,3,0.1800646394523717,0.015833059110137507,50,11.689525520801544,1.1042180301789435,2,0.15874015418229107,0.018637069840763534,100,31.959035956859587,2.6513260007061947,1,0.13966710811952526,0.014231161648618875,200.0,49.6397903084755,5.1746844348166645,1.0,0.2110183393888167,0.018009602358831117,30.0,0.4152327537536621,0.007251096524750937,4.0,0.19944181516104345,0.01376709193428272,50,0.6642150044441223,0.004717883252950412,3,0.18074796541898383,0.011517194467879275,100,1.8973116159439087,0.017240163523106138,2,0.1613054914227229,0.010647335588460146,200,2.3819342255592346,0.22162273707729177,1
redis,4400,0.47141903719218076,0.020109232697943943,30,5.426997244358063,0.6610215861142572,3,0.46115756778611444,0.026272856747124325,50,10.547636580467223,1.4960692619246023,2,0.43539182477569194,0.025551878049019698,100,17.992240214347838,4.154071988327857,1,0.4112803032204025,0.021645855188260104,200.0,28.611922883987425,8.789968479115723,1.0,0.48231505455839274,0.0210654752166128,30.0,0.1722480177879333,0.0019127845795363558,4.0,0.47142715018151093,0.018464074475131154,50,0.3069990396499634,0.0016652573082332445,3,0.4627650859414076,0.018319649228258194,100,0.59901362657547,0.021655303247233856,2,0.4343791353088336,0.017602352918666724,200,1.0046138048171998,0.028746791719057176,1
rs-6d-c3_obj1,3840,0.03295353100319191,0.07786927809457844,30,4.308654356002807,0.8851795725475033,2,0.005221595812509298,0.018023923874449618,50,7.112179327011108,1.0622247428435998,1,0.003457393687248892,0.010052134433552283,100,14.04855511188507,3.2310169225593905,1,0.000990839650174657,0.0007049039493338895,200.0,25.626148450374604,7.547654577544069,1.0,0.011715318379352744,0.02293639715997035,30.0,0.1889033675193786,0.0006906355878645628,1.0,0.00455427589235999,0.010442495962313397,50,0.31777827739715575,0.00436310304989938,1,0.0012270488158422246,0.0016911028198518618,100,0.43816936016082764,0.0068593716835120035,1,0.0007339289413798903,0.0007009574430415403,200,1.1552605390548707,0.09771430985254223,1
rs-6d-c3_obj2,3840,0.0008145367096708932,0.0010017780175166349,30,5.047165405750275,0.7495631808614681,2,0.000582966763507529,0.0009099126403512301,50,7.1236055254936215,0.9494110269724927,2,0.0005147563178294237,0.000925334319245732,100,14.518564808368684,2.9203273942088743,2,0.00011920959065284535,0.00042336253625948516,200.0,25.446266651153564,7.945949909471668,1.0,0.00035894636271436014,0.0008093847444459925,30.0,0.1736413717269897,0.0034529021091303717,2.0,6.511263856490146e-06,3.90194089347415e-06,50,0.17410855293273922,0.0012327619096112474,1,3.7945133957328904e-06,2.8340976188934043e-06,100,0.5960902214050293,0.027187976847069355,1,2.4776432194006936e-06,4.806811104463456e-07,200,1.079635214805603,0.030156760046350428,1
sol-6d-c2-obj1,2866,0.01437500162677346,0.000286876471744366,30,4.051814484596252,0.6295618840216494,1,0.014255593150633272,0.00023222704930838165,50,7.643030989170074,0.9759527037640238,1,0.014215443361220109,0.0002156406559495198,100,14.239573514461517,2.3783599685764067,1,0.014078982306334828,9.879844746793026e-05,200.0,30.470089721679688,3.4763267262953774,1.0,0.014626386517553328,0.0003983524702019931,30.0,0.09782172441482541,0.0010914414896283967,2.0,0.014487855194861204,0.00028907071805621344,50,0.16140729188919062,0.0031570506084840984,2,0.014301154903661078,0.00022714733505683053,100,0.5929755926132202,0.03425044871298079,1,0.01426566229259565,0.0002354640379203347,200,1.2557557582855225,0.08163388575982392,1
storm,1557,9.29499953181574e-05,3.52152732880009e-05,30,6.521813833713532,0.7420480401862929,2,6.909189196686318e-05,2.0920588423756395e-05,50,12.113240683078766,1.2148372633734423,1,6.373680734147074e-05,1.8136138367783333e-05,100,31.16684470176697,1.9432700856374905,1,6.332147647495682e-05,3.3789964645122385e-05,200.0,55.576305341720584,4.917134532257311,1.0,0.00010486047921279356,3.242994396487867e-05,30.0,0.16096386909484864,0.0025447098612157567,2.0,9.186744540918506e-05,2.769355104313978e-05,50,0.30223536491394043,0.005492650049146975,2,7.198965294446522e-05,2.2446387369472275e-05,100,0.5654430389404297,0.022339210313618598,1,6.424818861298412e-05,1.824714268392562e-05,200,0.9293626308441162,0.01549214468395658,1
wc+rs-3d-c4-obj1,196,0.08418922273112235,0.035377483874992774,30,4.345345580577851,0.6152252847214805,3,0.07476122204370612,0.0018377444002120888,50,5.681039083003998,0.9835489307934974,2,0.08208727268020603,0.03583185305510243,100,12.731974875926971,1.7114723215234502,3,0.07044917586338087,0.015865380034680833,200.0,27.31188784837723,2.452076831742231,2.0,0.013044619561827089,0.021688370857589352,30.0,0.14732390642166132,0.004286921495295031,1.0,0.00856369161769995,0.016450845062352774,50,0.270434296131134,0.019861934919354132,1,0.0073436289120417,0.01620739138201704,100,0.36222043037414553,0.08242846591833547,1,0.0036102906881247806,0.0021092570237515504,200,0.38241573572158816,0.1247968558014676,1
