Dataset,Rows,GA-30_mean,GA-30_std,GA-30_budget,GA-30_runtime_mean,GA-30_runtime_std,GA-30_tier,GA-50_mean,GA-50_std,GA-50_budget,GA-50_runtime_mean,GA-50_runtime_std,GA-50_tier,GA-100_mean,GA-100_std,GA-100_budget,GA-100_runtime_mean,GA-100_runtime_std,GA-100_tier,GA-200_mean,GA-200_std,GA-200_budget,GA-200_runtime_mean,GA-200_runtime_std,GA-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
SS-W,65536,0.32738124866868495,0.014356514174544286,30,0.2877942085266113,0.011299811686613247,2,0.3070353181500871,0.018218954394125107,50,0.4029913187026978,0.025121525830797284,1,0.28803515438285415,0.01588915668321742,100,0.5750653386116028,0.04753250560032991,1,0.27456463997019587,0.011586630650465177,200,1.2384522199630736,0.15404751329723837,1,0.3422788903898169,0.03322763512770236,30,0.3285938024520874,0.0299217490213231,3,0.33629195668488715,0.031812914941431555,50,0.1922632217407226,0.024555477682656982,3,0.3269806414186843,0.03719388734752921,100.0,0.39036872386932375,0.060936842707819454,2.0,0.3257207667273182,0.037899370851116984,200.0,0.299708890914917,0.047491974749768295,2.0
SS-X,86058,0.2749362641575945,0.0764209460327559,30,0.25175408124923704,0.01216921091380738,1,0.2426086913138496,0.048165779854024364,50,0.32214070558547975,0.020286317975363184,1,0.2250608917454441,0.011393561626853961,100,0.9921570897102356,0.09331289633419469,1,0.21997462634079973,0.011029155649254939,200,1.631941032409668,0.1322261380593837,1,0.30240142116526025,0.09655735478510469,30,0.2174358963966369,0.004984541903841737,1,0.2679834581652095,0.08896665799906389,50,0.47829408645629884,0.05676263884025446,1,0.2565214366610399,0.08797263905282521,100.0,1.176229178905487,0.1937657814627883,1.0,0.25503961478431053,0.087599527780702,200.0,1.7398100018501281,0.593915999493499,1.0
coc1000,1000,0.35605302248728476,0.011859280937168433,30,0.706506073474884,0.0478063986365846,3,0.34281616934428205,0.012332379112874091,50,1.4349602818489076,0.0786446188504675,2,0.3221872308703709,0.014092888973789835,100,2.940494418144226,0.17560436142991354,1,0.3054806835470455,0.017049527777480394,200,4.539839732646942,0.4303398835796134,1,0.35071916421769145,0.012941794024843238,30,0.7117596745491028,0.014594369181685099,3,0.34069401171626446,0.011274905183520362,50,2.9823330521583555,0.0835814532022131,2,0.32815730586012215,0.013748105635934947,100.0,2.6291917681694033,0.23132074122799592,1.0,0.31606959746019625,0.015137030602370035,200.0,5.165818619728088,0.8719716910360339,1.0
dataset120,5160,0.2993729599036584,0.03803861793402116,30,0.13105115890502925,0.007244228067854649,3,0.275148308084889,0.04847535180479853,50,0.26409469842910765,0.021201456371697777,2,0.24252875992471581,0.03824695303523193,100,0.43303622007369996,0.033723612114793716,1,0.21110337385245476,0.0334045164779561,200,1.6901721835136414,0.1694978553524389,1,0.2844209906289532,0.039891018577083555,30,0.191592526435852,0.0016772109899904286,3,0.2611358547476776,0.03405597788997273,50,0.24805805683135987,0.0028275510771607624,2,0.23462550209186248,0.04254697284860257,100.0,0.5981421709060669,0.019534931366328053,1.0,0.19702611202114884,0.03315504675426941,200.0,1.1049420475959777,0.019454629133270066,1.0
dataset600,5160,0.27886794456510994,0.033440653487744776,30,0.12479538917541502,0.0069346299873840255,3,0.26023727700962607,0.03516227140545729,50,0.20207601785659784,0.013276665348855809,3,0.23368793235917845,0.02948951509761075,100,0.38591150045394895,0.01814780795139477,2,0.19964825114041446,0.037599179023653326,200,0.7008617043495178,0.03496884220958221,1,0.2750188042038371,0.034072752690590465,30,0.1394891500473022,0.0018901533508518056,3,0.2459356461649805,0.03980588842658781,50,0.23543510437011714,0.002364721424795848,2,0.20708707449563674,0.037078821128871974,100.0,0.4868077039718628,0.005380635017250223,1.0,0.16868813946416494,0.03897779295420249,200.0,0.9461963057518006,0.009888217926622275,1.0
dconvert,6764,0.015374255355459842,0.0023438224131287918,30,0.12968744039535518,0.004823834656481008,2,0.013413336204924445,0.0021791871841793445,50,0.21020376682281489,0.007907862744358236,1,0.011420865905418996,0.0013462638518894952,100,0.40345536470413207,0.012192586840079284,1,0.010715549071731912,0.0003936629737708842,200,0.7864028692245484,0.03190369598121488,1,0.01747476926664463,0.011198576744234521,30,0.1307533502578735,0.007417603271145817,2,0.015200540860228939,0.002802204978905305,50,0.17886068820953366,0.03039180854380434,2,0.01482933428932138,0.0031074926731264134,100.0,0.2627363920211792,0.06613254255713674,2.0,0.014787515184946181,0.0030626619723898387,200.0,0.3411950945854187,0.09313709377865151,2.0
deeparch,4096,0.014428649903158777,0.02803678491516054,30,0.11829229593276973,0.007126586958493453,2,0.010509358056546835,0.02404837460759181,50,0.175644838809967,0.014476308199447393,2,8.244343988448432e-05,8.368309273392898e-05,100,0.3274977087974548,0.026079972526031416,1,5.461241015718263e-05,1.1575158928987018e-05,200,0.4917470574378967,0.05862472532985604,1,0.027863807588287208,0.045041064553327445,30,0.09263876676559446,0.010996630044777175,2,0.019041883234952962,0.029469888506391324,50,0.11493207216262816,0.017981303434314103,2,0.01862420394376643,0.029679575952424195,100.0,0.09978697299957272,0.014601726037982439,2.0,0.01862420394376643,0.029679575952424195,200.0,0.11030226945877072,0.01598203869404357,2.0
javagc,166975,0.0028058240873084245,0.0035820036658331766,30,0.1223859071731567,0.0035851743897614076,2,0.002294839679974275,0.003384050760729148,50,0.28249508142471313,0.022684364384875023,2,0.001852925545368405,0.0031226449094409617,100,0.4013471007347107,0.07160701410546332,2,0.001345259558525575,0.0026546015781976264,200,0.9797250032424927,0.29803465597178175,1,0.0008749200372416999,0.0005495299255380459,30,0.14654576778411862,0.014249997532980693,1,0.000718192361355245,0.0004057151909823574,50,0.2623612642288208,0.024406315734963723,1,0.000684135061589765,0.0004050982230673291,100.0,0.5651256918907166,0.10926695549956236,1.0,0.00067564618554307,0.00039371399792398164,200.0,0.9688746094703674,0.1402444774555475,1.0
pom3a,20000,0.19594443687877752,0.023202477617960262,30,0.43522276878356936,0.024043322576943506,4,0.17928625474548576,0.024075940196120308,50,0.5877028703689575,0.034122877772825105,3,0.15687457063606036,0.017978675006489385,100,0.8080983400344849,0.043690955315622115,2,0.13541296656306276,0.01933017086913962,200,1.7475394010543823,0.18316841398315306,1,0.1716927516377186,0.02391740200079729,30,0.4437871932983398,0.002537925307005068,2,0.16069350023081436,0.020890576757240906,50,0.7883581042289733,0.06135331732188515,2,0.13969763832255735,0.01576164017086675,100.0,1.2422260761260986,0.14186766188109756,1.0,0.12882351936804304,0.01782251826352675,200.0,3.4229961037635803,0.2573321155867059,1.0
pom3b,20000,0.19350342151988698,0.024133168437194034,30,0.4445880651473999,0.01760916502093124,3,0.17965992577485124,0.02504693378338008,50,0.45474801063537595,0.024760607461884934,2,0.15983607088901358,0.018364971381787387,100,0.8342601418495178,0.04571911154878372,1,0.13695457958417198,0.018761809533276084,200,1.7657875061035155,0.17174537141252583,1,0.181674065862978,0.018379345441815187,30,0.4253139615058899,0.004312810103264738,2,0.16097425295338844,0.017347074359401714,50,0.6517355561256408,0.0846950638666432,1,0.14783121331491678,0.020910087925257767,100.0,1.1211453557014466,0.02442264671023256,1.0,0.13847606290197834,0.020532755622470714,200.0,1.778176200389862,0.32329113998536807,1.0
