Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,DODGE-30_mean,DODGE-30_std,DODGE-30_budget,DODGE-30_runtime_mean,DODGE-30_runtime_std,DODGE-30_tier,DODGE-50_mean,DODGE-50_std,DODGE-50_budget,DODGE-50_runtime_mean,DODGE-50_runtime_std,DODGE-50_tier,DODGE-100_mean,DODGE-100_std,DODGE-100_budget,DODGE-100_runtime_mean,DODGE-100_runtime_std,DODGE-100_tier,DODGE-200_mean,DODGE-200_std,DODGE-200_budget,DODGE-200_runtime_mean,DODGE-200_runtime_std,DODGE-200_tier
pom3d,500,0.20104468944469073,0.014237036808870809,30,0.3022685170173645,0.025186056886911407,3,0.1920872697133469,0.011045709493587384,50,0.532792329788208,0.008146109448734347,2,0.18077738528586992,0.016293570715482295,100.0,1.0131960034370422,0.00865238444094435,1.0,0.17121535337903132,0.01523664071842664,200,1.5556043624877929,0.27266691436301166,1,0.2076866986780313,0.016338572981116847,30,0.5417383193969727,0.02773032087294386,3,0.2028222208598931,0.01633613130372192,50,0.8025998473167419,0.06331483283248832,3,0.19737401372633187,0.015023140431698305,100,1.9892197489738463,0.15638637063573477,2,0.18724618581406313,0.009664000058689564,200,4.045549631118774,0.21577859315314432,1
redis,4400,0.4711229945724627,0.021837400990578484,30,0.10626891851425169,0.0012786998971527238,2,0.4622734287874823,0.02122662237659453,50,0.16922037601470943,0.026600164304418934,2,0.4447532554663797,0.021184385904067633,100.0,0.27779417037963866,0.04911596717318412,1.0,0.4337494932789112,0.02151972085869522,200,0.5415885925292969,0.06812003291452738,1,0.4761203854691526,0.02336765059034427,30,0.20164153575897212,0.003721622749252438,2,0.4704768886192482,0.020319715777567422,50,0.16915237903594965,0.01611761327006172,2,0.4695365798461083,0.01971396604625934,100,0.31349384784698486,0.07806363430710271,2,0.4695365798461083,0.01971396604625934,200,0.2687917113304138,0.07468724946869815,2
rs-6d-c3_obj1,3840,0.014107672915260374,0.039268564606468916,30,0.13747184276580807,0.0017287186805096649,1,0.0112220691008038,0.034709096442438754,50,0.2539173126220703,0.00279326503576657,1,0.0035056553130174153,0.008956131242380122,100.0,0.3870242238044739,0.01336777790525287,1.0,0.003374884170851638,0.008994855331538218,200,0.9744455695152283,0.02938571823451289,1,0.005106009400454014,0.006844816911718105,30,0.10940538644790646,0.0021045905225259864,1,0.004147148431563304,0.00673935902106834,50,0.1686323642730713,0.002437183905306215,1,0.00182157045311706,0.0009463928288929949,100,0.29788296222686766,0.053221669021944404,1,0.0018214874621609901,0.0009464151075019929,200,0.6049404263496398,0.14819507501081536,1
rs-6d-c3_obj2,3840,0.0008232630000030461,0.0007777635906042603,30,0.1381184577941894,0.016419997297952474,1,0.0004445161293427996,0.0003974283798159172,50,0.25519737005233767,0.0031333491391239464,1,0.00014833652878033034,0.00020617588929790174,100.0,0.5112943053245544,0.007587628495298056,1.0,7.678705607283565e-06,8.895387063146536e-06,200,0.9941920399665832,0.1176365401744116,1,0.0016556544288472853,0.0010348537944641929,30,0.17190638780593867,0.0068206596130519275,2,0.0012438363259100168,0.0009514142208844371,50,0.26020997762680054,0.01958042150318243,2,0.0007665248347369868,0.0006834880722351807,100,0.5160573720932007,0.09074338699389697,1,0.0007665248347369868,0.0006834880722351807,200,0.5854871034622192,0.15278086054980375,1
sol-6d-c2-obj1,2866,0.014547283083715843,0.00044448096775166415,30,0.1544734120368957,0.00280107499426689,2,0.014355606736442423,0.00023548335316063892,50,0.28541491031646726,0.0099167445457569,1,0.014239575603416588,0.00021959226045698566,100.0,0.5245541214942933,0.004448902884325691,1.0,0.014170864187251355,0.00019158330460093147,200,1.0226011753082276,0.09463297316661687,1,0.014700875428079902,0.00044834604690939783,30,0.09834403991699214,0.00062929085087271,2,0.014586996773740262,0.0003728502638556092,50,0.30409454107284545,0.02352765017334851,2,0.014529355267388008,0.0003998738555809457,100,0.3087828516960144,0.09518073639633023,2,0.014529355267388008,0.0003998738555809457,200,0.2384787082672119,0.07718756626069263,2
storm,1557,0.00010210395909797532,4.182513158921136e-05,30,0.10464447736740108,0.003337858696516892,2,7.295800298275922e-05,1.4216656690096997e-05,50,0.182058310508728,0.006455729741015781,1,5.892685757367122e-05,8.493974989060602e-06,100.0,0.5453891634941102,0.021035426669874218,1.0,5.288418512101045e-05,6.157514615797857e-06,200,0.7817766904830933,0.03534115854392705,1,0.00010986315755509774,4.6178669286006916e-05,30,0.18202822208404537,0.002484094588979562,2,8.973573509540362e-05,2.973476802646886e-05,50,0.31970704793930055,0.0035915305137418445,2,8.237541165062979e-05,2.8547122722246624e-05,100,0.4460833311080933,0.07622181949934846,1,7.77127017700261e-05,2.3162046832473127e-05,200,0.6500898599624634,0.1950070833349744,1
wc+rs-3d-c4-obj1,196,0.08396296514025062,0.03567163470107918,30,0.11641041040420527,0.008601854139855855,1,0.07505073021660388,0.002062972732426422,50,0.17076486349105832,0.004306268767809815,1,0.07434862588219068,0.001217578223463441,100.0,0.34242274761199953,0.005910111952890531,1.0,0.07392575630593734,0.0010150046153223605,200,1.3068179726600646,0.024475475724123334,1,0.10936148140703443,0.06471237798959777,30,0.1464732408523559,0.0036122783925597677,2,0.08493931282118031,0.03461920633054795,50,0.2446876049041748,0.007709940865153161,1,0.08483004730299608,0.034642316804505593,100,0.37011908292770385,0.08859406972872426,1,0.08483004730299608,0.034642316804505593,200,0.382203471660614,0.09161416812395304,1
wc+sol-3d-c4-obj1,196,0.08663556997176632,0.05577143099680626,30,0.14925683736801143,0.0013494772237614768,1,0.08502185369030645,0.055757343017033924,50,0.17105528116226193,0.006541218116327104,1,0.07398241766999318,0.04026134322549335,100.0,0.3457426309585571,0.0069527637045046385,1.0,0.06394558015831982,0.001640442857024416,200,0.7245970129966736,0.019361717177091252,1,0.10355707906317975,0.07070821831308016,30,0.15517184734344483,0.0038505045416761907,2,0.07736683000103942,0.03856225990509281,50,0.30320091247558595,0.013112768360726789,1,0.07725990473760277,0.03857323741763196,100,0.32963324785232545,0.08490785448738164,1,0.07725990473760277,0.03857323741763196,200,0.32556307315826416,0.08177876826975214,1
wc+wc-3d-c4-obj1,196,0.12932526552725587,0.04706898345590168,30,0.13453547954559325,0.0014337255445484,2,0.11038478514712338,0.014314007279173183,50,0.22685862779617305,0.0032386436204689304,1,0.09444195316790246,0.00879632571488573,100.0,0.3661816954612732,0.011106913032268729,1.0,0.08897712044319378,0.007988744774224106,200,0.7953534245491027,0.024056669725328612,1,0.15285836485304635,0.06163406912270679,30,0.15370128154754634,0.0015223585691661347,3,0.12649100293358506,0.037850169553400606,50,0.17731405496597286,0.0017766849064160739,2,0.11739492832863418,0.02327867317546928,100,0.5149823188781738,0.07601988108657967,2,0.11739492832863418,0.02327867317546928,200,0.4038362383842468,0.05982678571263107,2
wc-6d-c1-obj1,2880,0.11316687835603986,0.03636491164178227,30,0.2270828485488891,0.01390613780941524,2,0.10629060609303283,0.030423250863135968,50,0.18826137781143185,0.002943468318391085,1,0.09886145003411392,0.03292213299822939,100.0,0.382081413269043,0.011719597081149193,1.0,0.08641281242864537,0.04214510868366142,200,0.6861890554428101,0.1208417550895492,1,0.1365306296848086,0.033384032935250434,30,0.1752516150474548,0.00125009799631469,3,0.11310862479494169,0.030933117907290395,50,0.2943761110305786,0.0029911957045973816,2,0.09708186162587007,0.0352666857092771,100,0.5326707482337951,0.07141341617464655,1,0.09707043206373014,0.03526425637446002,200,0.33034132719039916,0.07746190121689109,1
