Dataset,Rows,PTUNE-30_mean,PTUNE-30_std,PTUNE-30_budget,PTUNE-30_runtime_mean,PTUNE-30_runtime_std,PTUNE-30_tier,PTUNE-50_mean,PTUNE-50_std,PTUNE-50_budget,PTUNE-50_runtime_mean,PTUNE-50_runtime_std,PTUNE-50_tier,PTUNE-100_mean,PTUNE-100_std,PTUNE-100_budget,PTUNE-100_runtime_mean,PTUNE-100_runtime_std,PTUNE-100_tier,PTUNE-200_mean,PTUNE-200_std,PTUNE-200_budget,PTUNE-200_runtime_mean,PTUNE-200_runtime_std,PTUNE-200_tier,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier
Health-ClosedIssues0007,10000,0.4090597340094947,0.012804834938606242,30.0,4.20484733581543,0.01870094380815179,2.0,0.40753591706529707,0.0108840173759628,50,20.68099241256714,2.5173841342645256,2,0.4053377495963388,0.009459932687695597,100.0,95.51917694807052,19.689991372303194,2.0,nan,nan,nan,nan,nan,nan,0.4759733225709134,0.0941833850101576,30,5.486719369888306,0.49144981562817897,3,0.40658260158904785,0.0773622316883987,50,11.05333856344223,1.1996107776513087,2,0.3594551346393239,0.06483065763064265,100,25.23447299003601,2.2578146013897085,1,0.3227903215776223,0.034506280119481175,200.0,46.75666166543961,3.824090316940074,1.0
Health-ClosedIssues0008,10000,0.5722689291250491,0.005312785709925878,30.0,5.698521769046783,0.0895005990402033,2.0,0.5704594430229838,0.005155520270828484,50,20.824397790431977,2.8516075327782597,2,0.5693607872264054,0.00481307882013404,100.0,148.30031517744064,22.50894387746626,2.0,nan,nan,nan,nan,nan,nan,0.29215973271532,0.05092956380840962,30,5.326886868476867,0.5010803306445721,1,0.2698875289063942,0.03724431042689601,50,10.058438766002656,1.018133821094993,1,0.2570474950619709,0.030198183102862118,100,25.274834787845613,1.9410929483372312,1,0.24092083791619165,0.014914710219910131,200.0,45.822957038879395,4.363970279976964,1.0
Health-ClosedIssues0009,10000,0.46330009158842167,0.0003753386518276421,30.0,5.313319659233093,0.1198670982577807,2.0,0.463283572484404,0.0003443416971137064,50,20.824786448478697,2.61952916280769,2,0.46326312750307064,0.00032813889309861027,100.0,161.6069620847702,23.925951952093474,2.0,nan,nan,nan,nan,nan,nan,0.32683474920986044,0.07083057603369397,30,5.256659281253815,0.42814241971238237,1,0.2826771512611519,0.049663187856570985,50,9.378034245967864,1.0434138539604685,1,0.2657566341762317,0.0479224663736573,100,21.90512263774872,2.2145060575448543,1,0.23867923359816579,0.009576428160116307,200.0,44.77832911014557,4.114113467894149,1.0
Health-ClosedIssues0010,10000,0.48978907195269006,0.00243710718972462,30.0,5.2117714285850525,0.13181311613206786,3.0,0.48952915645809253,0.0023740246908264162,50,20.64191105365753,3.5115789031951103,3,0.48932652548257183,0.0023731145980630344,100.0,163.43602526187897,14.31910557201791,3.0,nan,nan,nan,nan,nan,nan,0.48194697865661346,0.006392265560159643,30,4.8877766013145445,0.43025796507586217,2,0.480639727898075,0.007152178043414932,50,8.952867543697357,1.1108728321050645,2,0.47147805032982354,0.009190357237210794,100,21.144359815120698,2.221873743339353,1,0.466092217054592,0.00958165742705987,200.0,44.065387952327725,5.128811891385789,1.0
Health-ClosedIssues0011,10000,0.057431291058192724,0.01045816210624917,30.0,4.672989046573639,0.25744369040852094,2.0,0.05659999505526042,0.010677177076107252,50,17.993365013599394,3.061407984626289,2,0.05659999505526042,0.010677177076107252,100.0,128.84829226732253,22.101776532463106,2.0,nan,nan,nan,nan,nan,nan,0.02696550992919581,0.026886007555061046,30,4.491642165184021,0.46561108222546843,1,0.01920542598562381,0.02608625107980847,50,17.940895116329195,1.3726796911578194,1,0.004068016044017895,0.006960253939265764,100,20.59467006921768,2.579955263986386,1,0.0023269787154478303,0.0061954276855597625,200.0,36.79263453483581,4.792564362062101,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30.0,4.552655565738678,0.24138675706651697,1.0,0.0,0.0,50,8.068537437915802,0.4738757617667601,1,0.0,0.0,100.0,18.850166535377504,0.7710170004610922,1.0,0.0,0.0,200.0,38.832298445701596,1.6921931500281422,1.0,0.0,0.0,30,4.023287379741669,0.5425908952094955,1,0.0,0.0,50,7.68355963230133,1.0416847166228613,1,0.0,0.0,100,19.063914930820467,2.6237744190342784,1,0.0,0.0,200.0,35.22536514997482,4.488741489082557,1.0
Health-ClosedPRs0002,10000,0.02112422895040175,1.9059202359400131e-16,30.0,4.235906767845154,0.4209678943315055,3.0,0.02112422895040175,1.9059202359400131e-16,50,8.410452330112458,0.5860921431156431,3,0.02112422895040175,1.9059202359400131e-16,100.0,21.934025394916535,0.570165894029888,3.0,0.02112422895040175,1.9059202359400131e-16,200.0,37.174346280097964,1.704771322164449,3.0,0.021096542354763482,0.00011453903330245893,30,4.551448321342468,0.6298053863391442,3,0.020784463910868224,0.0006390758630551448,50,7.546447670459747,1.089486425595951,2,0.020178411754139508,0.0008819086268035055,100,17.77962120771408,2.298785657862578,1,0.02007796430732477,0.0008803153433115123,200.0,37.34859807491303,5.120454092330186,1.0
Health-ClosedPRs0003,10000,0.0830934160358904,1.4957003969734873e-16,30.0,4.732409679889679,0.29638002762335197,3.0,0.0830934160358904,1.4957003969734873e-16,50,9.126676166057587,0.4708152117320393,3,0.0830934160358904,1.4957003969734873e-16,100.0,18.4212748169899,0.9027772865408531,3.0,0.0830934160358904,1.4957003969734873e-16,200.0,40.3123983502388,1.7376989665952935,3.0,0.083064398309853,0.00012977121594345744,30,4.261550772190094,0.5467242178106274,2,0.08304721881638054,0.0001636612897247222,50,8.0590771317482,1.1055080528784231,2,0.08249661413685476,0.0007479565928585053,100,18.396261358261107,2.435637011420646,1,0.08246420132170461,0.000832047872141108,200.0,37.36668659448624,4.169213821394527,1.0
Health-ClosedPRs0004,10000,0.2930757409657322,0.004597537205220533,30.0,4.738033092021942,0.29878541939149456,1.0,0.2930757409657322,0.004597537205220533,50,16.124809777736665,2.3715345723248027,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3237017767925444,0.06861095802604673,30,5.429679048061371,0.6256896912973477,2,0.30244772526325525,0.033994952161301696,50,8.443996596336365,1.165707265638378,1,0.29166432994954616,0.03646740527870864,100,19.903754436969756,2.756494320296796,1,0.2806280566379677,0.005686748511593477,200.0,38.79978835582733,5.128202477255433,1.0
Health-ClosedPRs0005,10000,8.222359467803247e-05,0.0002588473942653186,30.0,5.309148418903351,0.1254196727654323,1.0,8.222359467803247e-05,0.0002588473942653186,50,17.663521146774293,2.7365269168986193,1,3.0964721869641906e-05,0.00012734120653606662,100.0,92.07262225151062,21.77134682994671,1.0,nan,nan,nan,nan,nan,nan,0.001340562116072121,0.004034395616073244,30,4.493973839282989,0.562781419008538,2,0.0006343199768692207,0.001953947627300637,50,8.325497364997863,1.1588129819793889,2,0.00023960307365559507,0.0007988615518879327,100,18.976876819133757,2.2401482416305813,1,0.0,0.0,200.0,36.144532561302185,5.684000626531754,1.0
