Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,SWAY-30_mean,SWAY-30_std,SWAY-30_budget,SWAY-30_runtime_mean,SWAY-30_runtime_std,SWAY-30_tier,SWAY-50_mean,SWAY-50_std,SWAY-50_budget,SWAY-50_runtime_mean,SWAY-50_runtime_std,SWAY-50_tier,SWAY-100_mean,SWAY-100_std,SWAY-100_budget,SWAY-100_runtime_mean,SWAY-100_runtime_std,SWAY-100_tier,SWAY-200_mean,SWAY-200_std,SWAY-200_budget,SWAY-200_runtime_mean,SWAY-200_runtime_std,SWAY-200_tier
Health-ClosedIssues0011,10000,0.035250023259441474,0.04240838142742045,30,0.4470345854759216,0.06022252033289155,1,0.010699369543357245,0.009046551512052402,50,0.7215848207473755,0.05505227325223646,1,0.005079215245211851,0.0038204676709208065,100.0,1.4788738012313842,0.11260824929845102,1.0,0.00321384456072726,0.0020461060817633025,200,3.097992718219757,0.20133713238285536,1,0.1623437420959525,0.0957288848365773,30,0.6462298393249511,0.04585510126720425,2,0.1623437420959525,0.0957288848365773,50,0.9886879682540893,0.04572118726754557,2,0.1623437420959525,0.0957288848365773,100,1.7439707517623901,0.1379443971158769,2,0.019697788898239962,0.01862268778931999,200,3.333823764324188,0.21642187525538,1
Health-ClosedPRs0000,10000,0.0,0.0,30,0.27285405397415163,0.002464390761484055,1,0.0,0.0,50,0.5699608206748963,0.06823331133301146,1,0.0,0.0,100.0,0.9659983277320862,0.06476257258176746,1.0,0.0,0.0,200,1.9880021929740905,0.19723054544978585,1,0.0,0.0,30,0.6517586708068848,0.0671830193924494,1,0.0,0.0,50,0.8138791561126709,0.05976553118680345,1,0.0,0.0,100,1.3493919372558594,0.05412686170271217,1,0.0,0.0,200,2.686462438106537,0.07851405053267553,1
Health-ClosedPRs0002,10000,0.021121308675497823,1.3059866396360008e-05,30,0.41641714572906496,0.046890440289018384,1,0.021121308675497823,1.3059866396360008e-05,50,0.6122109532356262,0.06091497570114152,1,0.02099249783456047,0.00040756430063661214,100.0,1.530437207221985,0.07364391308290016,1.0,0.020696461042010762,0.0006890701885641799,200,2.763793182373047,0.2669668294684183,1,0.02658051745652365,0.02611173888272238,30,0.5389604568481445,0.03457357673732655,1,0.02658051745652365,0.02611173888272238,50,0.9966814756393433,0.04425328113282793,1,0.02658051745652365,0.02611173888272238,100,1.901005709171295,0.08178336602726402,1,0.020719700743574005,0.0007448868111575341,200,3.3067294359207153,0.2412864192701712,1
Health-ClosedPRs0003,10000,0.08309341603589024,1.6324456666696272e-16,30,0.391415011882782,0.04774997495680749,1,0.08309341603589024,1.6324456666696272e-16,50,0.6093364953994751,0.05907090879290156,1,0.08308285214226208,3.7868541659724585e-05,100.0,1.1949504971504212,0.07762168512112477,1.0,0.08307159207631357,6.564854951365082e-05,200,2.612250816822052,0.15259067361000112,1,0.08381826846843995,0.0034027709694780424,30,0.5442434072494506,0.041886850450802274,2,0.08381826846843995,0.0034027709694780424,50,0.9425625205039978,0.07598645970623023,2,0.08381826846843995,0.0034027709694780424,100,1.887208342552185,0.07051175944642354,2,0.0830305663914272,0.00017616223716979666,200,3.279452049732208,0.22696184547996087,1
Health-ClosedPRs0004,10000,0.3798725972762761,0.08618139506557704,30,0.22338572740554805,0.03034818889158497,1,0.3348303952133597,0.05233448710982738,50,0.3877073287963867,0.0495536131593922,1,nan,nan,nan,nan,nan,nan,0.2898369478974362,0.007539473014862342,200,1.4079587936401368,0.061389440832422704,1,0.4948515381536699,0.15185239965681205,30,0.6134798049926757,0.05860180719046254,2,0.4948515381536699,0.15185239965681205,50,1.0536994457244873,0.04146504111542935,2,0.4948515381536699,0.15185239965681205,100,1.7181867361068726,0.14078954093035193,2,0.33065777391530293,0.053757329902383105,200,3.2621772646903993,0.26237758499368863,1
Health-ClosedPRs0005,10000,0.0010872739047600882,0.0013279030788542331,30,0.22445452213287348,0.03143328550154937,1,0.00013436947789839578,0.00032723552362982883,50,0.35429795980453493,0.035659042834068934,1,4.815742445998631e-06,1.2836244973281664e-05,100.0,0.7110507965087891,0.07233439247164092,1.0,0.0,0.0,200,1.563746702671051,0.13708195982529953,1,0.04586916452637278,0.07048253893986445,30,0.5786115288734436,0.04831298723198743,2,0.04586916452637278,0.07048253893986445,50,0.9499319076538086,0.03723154365501981,2,0.04586916452637278,0.07048253893986445,100,2.0791216254234315,0.1455045313790394,2,0.00019415623853981346,0.00041369496025652733,200,3.7857414960861204,0.10157995872395222,1
Health-ClosedPRs0006,10000,0.24924987231160162,0.09427925411839799,30,0.21900937557220454,0.029528681177845847,1,0.2205367269460466,0.08781837326453909,50,0.35341356992721557,0.0337758283204316,1,0.15462375792923932,0.06984929777590788,100.0,0.7171112298965454,0.07215087364503181,1.0,0.11115678577620465,0.044808559711101516,200,1.4480061888694764,0.13969253015051844,1,0.35669288760876156,0.08678101370271576,30,0.532907223701477,0.049231906649060284,2,0.35669288760876156,0.08678101370271576,50,0.9655757904052734,0.04414265455683093,2,0.35669288760876156,0.08678101370271576,100,1.8924842119216918,0.0937936165380527,2,0.21983965358377144,0.06981983901515408,200,4.1242851376533505,0.05770577915856838,1
Health-ClosedPRs0007,10000,0.08900648528433172,0.03750550916457449,30,0.4505756855010986,0.06305303815686167,1,0.06325673657581835,0.02494539348168146,50,0.8702503561973571,0.03648298672389661,1,0.04286373419922224,0.017383483866019768,100.0,1.9232937693595886,0.040272829326226056,1.0,0.03356823890304893,0.009376930440734933,200,3.191380727291107,0.2462064560776918,1,0.18465420134485452,0.13235000536033528,30,0.5475629925727844,0.050667212472704046,2,0.18465420134485452,0.13235000536033528,50,0.9308677434921264,0.043665538679055385,2,0.18465420134485452,0.13235000536033528,100,1.6382465720176698,0.11534475400568797,2,0.06125607504346623,0.04016536983172041,200,3.3055810213088987,0.24167684134194364,1
Health-ClosedPRs0008,10000,0.6278790313932462,0.05429937436599154,30,0.5389043927192688,0.011282211807382354,2,0.5998551619201989,0.03701369536403393,50,0.380121636390686,0.06621627578263611,1,0.5782656149270081,0.0500197449378049,100.0,1.7149827599525451,0.1194953843543871,1.0,0.5589826901420589,0.03822128603594301,200,3.1136470794677735,0.3281372412221987,1,0.6507904242873384,0.07422088830857594,30,0.646912956237793,0.056392697099191744,2,0.6507904242873384,0.07422088830857594,50,0.834110951423645,0.037963411215746416,2,0.6500658507229157,0.07222812075210243,100,1.6795032382011414,0.11330507654721554,2,0.5899982442192581,0.029127875185153775,200,3.2892311573028565,0.23872374726411588,1
Health-ClosedPRs0009,10000,0.5737303818486654,0.1090022743528507,30,0.22212572097778316,0.030123097599883297,3,0.5343351547120028,0.12082808832681027,50,0.46578437089920044,0.06121243054845931,2,0.44831892579055976,0.11399838263741087,100.0,0.7818807125091553,0.0985555375081357,1.0,0.38803619809452006,0.09120014566206004,200,1.620513951778412,0.13466459664783156,1,0.5085904360953657,0.11267447385014254,30,0.5632077217102051,0.039793798297044616,2,0.5085904360953657,0.11267447385014254,50,0.8835734248161315,0.0654991217308353,2,0.5085904360953657,0.11267447385014254,100,1.6076097369194031,0.0478571218957588,2,0.44809025912781697,0.07913622976631304,200,3.350138986110687,0.24323693389535053,1
