Dataset,Rows,GA-30_mean,GA-30_std,GA-30_budget,GA-30_runtime_mean,GA-30_runtime_std,GA-30_tier,GA-50_mean,GA-50_std,GA-50_budget,GA-50_runtime_mean,GA-50_runtime_std,GA-50_tier,GA-100_mean,GA-100_std,GA-100_budget,GA-100_runtime_mean,GA-100_runtime_std,GA-100_tier,GA-200_mean,GA-200_std,GA-200_budget,GA-200_runtime_mean,GA-200_runtime_std,GA-200_tier,ONEPLUSONE-30_mean,ONEPLUSONE-30_std,ONEPLUSONE-30_budget,ONEPLUSONE-30_runtime_mean,ONEPLUSONE-30_runtime_std,ONEPLUSONE-30_tier,ONEPLUSONE-50_mean,ONEPLUSONE-50_std,ONEPLUSONE-50_budget,ONEPLUSONE-50_runtime_mean,ONEPLUSONE-50_runtime_std,ONEPLUSONE-50_tier,ONEPLUSONE-100_mean,ONEPLUSONE-100_std,ONEPLUSONE-100_budget,ONEPLUSONE-100_runtime_mean,ONEPLUSONE-100_runtime_std,ONEPLUSONE-100_tier,ONEPLUSONE-200_mean,ONEPLUSONE-200_std,ONEPLUSONE-200_budget,ONEPLUSONE-200_runtime_mean,ONEPLUSONE-200_runtime_std,ONEPLUSONE-200_tier
Health-ClosedIssues0009,10000,0.38078045774294644,0.06948734764838918,30,0.4655707120895386,0.04372343324725625,2,0.3657319327003529,0.07013128513917376,50,0.6443840980529785,0.08829143621826892,2,0.35340132380264505,0.07339504214101462,100,1.0143664240837098,0.1256067979269361,2,0.32741012457463187,0.07053390372911941,200,1.4776697874069213,0.22073299295464432,1,0.3962425750834009,0.0692288566045094,30.0,0.5128263831138611,0.014164725083238322,2.0,0.35983258310172117,0.08345233739777183,50,0.9593010902404785,0.0066855987741874295,2,0.34166967113625235,0.08174219464093835,100,2.0393112182617186,0.01649717007542331,1,0.3220403337732718,0.07545618171623224,200,3.873957574367523,0.054296124879687546,1
Health-ClosedIssues0010,10000,0.4855770545685688,0.007079004401235799,30,0.4736698269844055,0.051580463330164056,2,0.4822927584491513,0.009967633791100031,50,0.6751392483711243,0.08836075279050394,1,0.47806902211143,0.010460738700287962,100,0.778400993347168,0.07818651597643989,1,0.4762059198295997,0.010873533699643795,200,1.5286200642585754,0.15569515331457515,1,0.49202201328961326,0.007986510509502831,30.0,0.626831591129303,0.022291767542179618,3.0,0.4895057384150835,0.0070232359393860785,50,0.9412220358848572,0.005840249062145515,3,0.4887833575112371,0.006580197685245227,100,1.9427852392196656,0.007065043461676182,3,0.4862896157439649,0.005689852946571929,200,3.7878212332725525,0.017678494419582427,2
Health-ClosedIssues0011,10000,0.05692358489770409,0.05751394282410382,30,0.3984596848487854,0.03455929352203897,1,0.047240113737716305,0.057661567564920954,50,0.6031873226165771,0.06126417716312134,1,0.030191913157581723,0.03547944605933221,100,0.9187061786651611,0.09999260744872787,1,0.021900747296331534,0.034232494655788225,200,1.3623638510704041,0.13699271163287322,1,0.20317306060211618,0.10792300244969368,30.0,0.3104604005813599,0.0024706496551125715,2.0,0.15228303982076813,0.11655031607514721,50,0.513315224647522,0.005671610625314026,2,0.08103522881074046,0.053873358788676086,100,1.9452417969703675,0.04924821291139161,1,0.06685641544431424,0.04506054307459319,200,3.8247292280197143,0.09139139914666078,1
Health-ClosedPRs0000,10000,0.0,0.0,30,0.30722029209136964,0.02295798486093568,1,0.0,0.0,50,0.537055778503418,0.03641687276997553,1,0.0,0.0,100,0.6324253559112549,0.11176191513756499,1,0.0,0.0,200,1.5574162483215332,0.11948060262208375,1,0.0,0.0,30.0,0.29920837879180906,0.0015571630074574017,1.0,0.0,0.0,50,0.6110100626945496,0.003310947088832429,1,0.0,0.0,100,1.1650746941566468,0.00372394373758268,1,0.0,0.0,200,2.692228078842163,0.0666577775234565,1
Health-ClosedPRs0002,10000,0.02112422895040175,1.9059202359400131e-16,30,0.40278284549713134,0.03380318377063775,1,0.02112422895040175,1.9059202359400131e-16,50,0.6014116644859314,0.05100262169632658,1,0.02112422895040175,1.9059202359400131e-16,100,1.0989955425262452,0.09259869899237261,1,0.02112422895040175,1.9059202359400131e-16,200,1.838417410850525,0.19666580863135297,1,0.026234549198898015,0.02305025311610128,30.0,0.4931262254714966,0.00886611274623202,1.0,0.021082708005954683,0.00018568730854727085,50,0.7918598055839539,0.01063604480783893,1,0.02105707032129263,0.0002130364747330458,100,1.6877622127532959,0.07282076081477233,1,0.020980733777320175,0.0003887633406308992,200,3.289360558986664,0.17161381997359007,1
Health-ClosedPRs0003,10000,0.08308326937186843,4.53772609952458e-05,30,0.41014963388442993,0.039814481621795884,1,0.08308326937186843,4.53772609952458e-05,50,0.5883273363113404,0.06131571950106655,1,0.083060942499445,0.0001452260699227354,100,1.1306310892105103,0.1759025706622295,1,0.08305548708011541,0.00014563506010637135,200,1.427949321269989,0.2725720129952648,1,0.08310127157346604,3.513103203846026e-05,30.0,0.6043924689292908,0.003122545268385112,1.0,0.08309341603589027,1.7467336633972114e-16,50,0.9901994347572327,0.01586547471980586,1,0.08307102184422799,0.00010014986971597969,100,1.2497558832168578,0.15498405904861406,1,0.08307102184422796,0.00010014986971597478,200,1.8765312910079956,0.26159046255179746,1
Health-ClosedPRs0004,10000,0.45448345207971175,0.14061321658989973,30,0.4425928592681885,0.042604161890672114,1,0.4187102244274345,0.1231654837280652,50,0.5879401564598083,0.0657653193095747,1,0.3805519965546347,0.12383792375669742,100,0.7003317713737488,0.1132369922194632,1,0.36903727084700666,0.11851237791307284,200,1.0956770300865173,0.15727573118469998,1,0.5950727574203107,0.12939874195849901,30.0,0.5418385028839111,0.021632910895245848,2.0,0.5576805538926134,0.1388640526316874,50,0.7848991513252258,0.013290320081381615,2,0.43677439539756513,0.12603238956172985,100,1.6411295533180237,0.08562196053994388,1,0.40985863510610854,0.09839008385468805,200,3.379013442993164,0.19416283038484847,1
Health-ClosedPRs0005,10000,0.00323215985515165,0.004815842210698839,30,0.46730221509933473,0.04149083269804078,1,0.0020671604998551882,0.004388337041470428,50,0.56456059217453,0.08775864923027275,1,0.001130268499831722,0.0026851280133024353,100,0.8195247888565064,0.11926713400635595,1,0.00079831620415775,0.001871587031700258,200,1.375444734096527,0.1803762639315084,1,0.020747544522945218,0.021078970087511008,30.0,0.575919246673584,0.02604910634852504,2.0,0.017322857392157363,0.02020104619902332,50,0.8989229321479797,0.02589586792269903,2,0.008702770478906583,0.013876686110711228,100,1.4359399557113648,0.018875529826471157,1,0.0031141240344065776,0.003671738380338417,200,2.9392090797424317,0.11944765938935084,1
Health-ClosedPRs0006,10000,0.4173123216823596,0.14271341616364472,30,0.38938751220703127,0.03333486929519147,1,0.373164668935595,0.1787315256716238,50,0.4487565040588379,0.05462934115555678,1,0.31841910350866426,0.19763994857855363,100,0.6953772902488708,0.10296566420849877,1,0.255924739939029,0.18277843302337107,200,1.1706446051597594,0.19617919207887233,1,0.5349152132207899,0.0956436278836234,30.0,0.43027193546295167,0.013252377111555334,2.0,0.4986360756653753,0.13730699660583362,50,0.69156973361969,0.021058902238848452,2,0.40552926779888576,0.16519333539899783,100,1.4774044394493102,0.014086516618063014,1,0.3716185114765108,0.1469682434712193,200,3.662136161327362,0.07816467157964933,1
Health-ClosedPRs0007,10000,0.16089479793300382,0.11693647407004715,30,0.36205599308013914,0.03563557587132347,1,0.1420375642979245,0.11853285779538666,50,0.3354195594787598,0.04595620503525435,1,0.12070258560627334,0.11267828673300503,100,0.5028701305389405,0.07382177612708868,1,0.10126049163178852,0.10769385211860917,200,1.3867536425590514,0.18434527315794613,1,0.3157284695886201,0.13466415339395368,30.0,0.4227375626564026,0.010408325287517827,2.0,0.2654275049344696,0.14817849132888988,50,0.498585844039917,0.0077713329138651395,2,0.18612338882704532,0.1198227680951487,100,1.3897778153419496,0.026164145190216315,1,0.1482168146123642,0.10477729269283048,200,2.7148586750030517,0.15031406314671458,1
