Dataset,Rows,EDA-30_mean,EDA-30_std,EDA-30_budget,EDA-30_runtime_mean,EDA-30_runtime_std,EDA-30_tier,EDA-50_mean,EDA-50_std,EDA-50_budget,EDA-50_runtime_mean,EDA-50_runtime_std,EDA-50_tier,EDA-100_mean,EDA-100_std,EDA-100_budget,EDA-100_runtime_mean,EDA-100_runtime_std,EDA-100_tier,EDA-200_mean,EDA-200_std,EDA-200_budget,EDA-200_runtime_mean,EDA-200_runtime_std,EDA-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.35598354792601056,0.0785079758976865,30,0.5779272675514221,0.004499960499288642,2,0.34803585645731977,0.08131423037026846,50.0,1.0613630175590516,0.012203917294226768,2.0,0.3409064547584964,0.08008898265834088,100.0,1.9504446506500244,0.033429554661799525,2.0,0.340503639889491,0.0801648202770495,200.0,2.752586817741394,0.1722656764870265,2.0,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,2,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.4851311621517815,0.00673805427579925,30,0.5876479268074035,0.0026952183657347906,3,0.4847317201341112,0.006371292481770169,50.0,0.7431434273719788,0.023320814450469168,3.0,0.4824103082422838,0.0069813521311242925,100.0,1.6661983251571655,0.031126691617537457,2.0,0.48217821739200184,0.006957111285336023,200.0,3.282841444015503,0.26107008229717354,2.0,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,3,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,2,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,1.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,1.0
Health-ClosedIssues0011,10000,0.060546369883767846,0.05725467670061625,30,0.317041015625,0.009951205632611964,2,0.04325582529000933,0.04671241962370829,50.0,0.5133843064308167,0.0023528964142474134,2.0,0.030342135225993987,0.044641065335253985,100.0,1.723747730255127,0.027370867206628215,1.0,0.028736647323922233,0.043865726091493015,200.0,3.5840519785881044,0.19674486102520902,1.0,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,2,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,1,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30,0.35324779748916624,0.0060431621427158595,1,0.0,0.0,50.0,0.5196838974952698,0.0034919998533957603,1.0,0.0,0.0,100.0,1.0616272807121276,0.027161871436212456,1.0,0.0,0.0,200.0,2.3939167261123657,0.08054510474242436,1.0,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.02112422895040175,1.9059202359400131e-16,30,0.5688717603683472,0.023582289014776228,2,0.02112422895040175,1.9059202359400131e-16,50.0,0.8915674924850464,0.018564656888854048,2.0,0.02112422895040175,1.9059202359400131e-16,100.0,1.5284049391746521,0.09712905278392604,2.0,0.02112422895040175,1.9059202359400131e-16,200.0,3.0586419224739076,0.21308086694954945,2.0,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,2,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,2,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,2.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,1.0
Health-ClosedPRs0003,10000,0.08302850237455209,0.0001479447651369408,30,0.4321089625358582,0.006474653445477753,2,0.0830026079076625,0.00020294127465931574,50.0,0.5066851019859314,0.0031450787099181177,2.0,0.08299378069018683,0.0002230215543406461,100.0,1.4130237579345704,0.02224001900643109,2.0,0.08299378069018683,0.0002230215543406461,200.0,3.7104229807853697,0.06391771698329636,2.0,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,2,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,2,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,2.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,1.0
Health-ClosedPRs0004,10000,0.3948533620100331,0.11362458518197843,30,0.4177815794944763,0.0032875961431784056,2,0.36821334678599293,0.10384205413646104,50.0,0.727660596370697,0.013877649388885976,2.0,0.3449791942643524,0.07613905514595112,100.0,1.5339562058448792,0.08988480326126841,2.0,0.3442149213081777,0.07600890557697723,200.0,3.1797019481658935,0.23189409791315704,2.0,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,2,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,1,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,1.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,1.0
Health-ClosedPRs0005,10000,0.0019598389687975467,0.003944911934015082,30,0.4857818365097046,0.03299536590669428,2,0.0007282703156974278,0.0014673234840113635,50.0,0.6880141019821167,0.0091353065664562,1.0,0.0003907638407381942,0.001018016707044013,100.0,1.3782783031463623,0.020300039143617925,1.0,0.00023899824854849922,0.0005061245185485505,200.0,1.5694163918495179,0.24788952553604046,1.0,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,2,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,1,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.3657831325237875,0.16687365260722442,30,0.4127532482147217,0.0047150671681855695,3,0.32593390171499864,0.17657551694869728,50.0,0.582886803150177,0.027291971000107693,3.0,0.29205061133879845,0.18942334940166894,100.0,2.102255117893219,0.023244403840827203,2.0,0.2850186807003764,0.18811549285380655,200.0,2.6873679041862486,0.051874073763069836,2.0,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,2,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.14272230500452274,0.08254857933666437,30,0.5207665681838989,0.027453557060573883,2,0.12178698920709327,0.07237696917598062,50.0,0.83419851064682,0.048112173749550395,2.0,0.10330343267921578,0.07185138238515168,100.0,1.3592763781547545,0.010922381415191439,2.0,0.0994378568625379,0.07053944093730648,200.0,2.6962672233581544,0.3173380791624755,2.0,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,2,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
Health-ClosedPRs0008,10000,0.7025960994162668,0.10323980723429119,30,0.4699332356452942,0.0017539687837527798,3,0.6796012348556405,0.10461276935576311,50.0,0.8171884536743164,0.003695292217982876,3.0,0.6705385236156142,0.10894708901274412,100.0,1.9960747957229614,0.16309146253666415,3.0,0.6705357084719584,0.10894196415324632,200.0,2.72494854927063,0.3216265396704862,3.0,0.5576964136362242,0.12627331232457079,30,0.30874587297439576,0.004923288466971367,2,0.4507049359345726,0.17394344733742115,50,0.523919141292572,0.041166032643355575,1,0.41551516594012694,0.19070314132406876,100.0,0.8853743314743042,0.22077849031838748,1.0,0.4139035651532866,0.19156863527327325,200.0,2.4730019211769103,1.1422557951300678,1.0
