Dataset,Rows,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier
SS-I,1080,0.35239582421652804,0.11229965171991742,30,0.3739899158477783,0.021354119855041823,3,0.302606147882598,0.10407883463583495,50,0.883639907836914,0.008723716055826745,3,0.263632467403205,0.07679676113138753,100,1.0987494230270385,0.04616843133169384,2,0.24618567822764606,0.06596388026954672,200.0,3.3481989026069643,0.3545056561642957,2.0,0.1140366436550436,0.10289364623988663,30.0,0.31237260103225706,0.005095011137683369,1.0,0.08244810191229138,0.0938684178309994,50,0.32927892208099363,0.004359466057407784,1,0.03801236222660294,0.06844836274660783,100,0.6494557738304139,0.013908541191975307,1,0.03432528790627829,0.06870454738473628,200,1.689146089553833,0.20911883948299767,1
SS-J,3840,0.2635330695671511,0.2418252102372604,30,0.4360523819923401,0.04521217992295218,2,0.18102544697234255,0.20383430126459334,50,0.5201039671897888,0.027908486907054986,2,0.14301906244328794,0.19834659969570456,100,1.484088933467865,0.1808316312966032,1,0.13013298683885272,0.20079239807076216,200.0,4.663422167301178,0.26623667023647285,1.0,0.10203206082355054,0.0526953553763622,30.0,0.35034765005111695,0.004916930889381817,1.0,0.09551740516236082,0.0520983509578232,50,0.3696723222732544,0.008507221719670464,1,0.0919545270189981,0.05265996991213678,100,0.8712674617767334,0.11430272273152707,1,0.08932310059531957,0.049834069946405525,200,1.3376333355903625,0.026767342926065876,1
SS-K,2880,0.23706636175297696,0.07129251374539904,30,0.38524826765060427,0.013291373866131776,3,0.20736733889036968,0.029541029635353877,50,0.4884746551513672,0.022002661333080924,3,0.1862470054965314,0.017839364331410305,100,1.1292858004570008,0.04165995799456437,2,0.1697304291743433,0.006387305063023406,200.0,3.2905933976173403,0.2567875245489214,2.0,0.10348126569072055,0.029266780318830277,30.0,0.31520795822143555,0.003448107124082898,1.0,0.08963806054058537,0.02761977549445047,50,0.34098995923995973,0.009892453287649811,1,0.08061392808468595,0.02480200869641808,100,0.7828311204910279,0.027244028486622437,1,0.07677451735045024,0.02445037225066586,200,1.2076585054397584,0.19338617940001876,1
SS-L,1023,0.2075985708219048,0.05325245733552281,30,0.32976059913635253,0.022278407636171452,2,0.187231480819061,0.022860738503360158,50,0.5723732471466064,0.03741926020937795,1,0.17256791046168668,0.00850826649323353,100,1.332728958129883,0.14917237515392215,1,0.16527463668204712,0.005182529674158618,200.0,2.6697389602661135,0.35600978988777654,1.0,0.21467447755961938,0.07783769465123934,30.0,0.19987381696701048,0.013752446366695486,2.0,0.19928474432218132,0.06062853282587529,50,0.5741950154304505,0.05500938103925683,2,0.1819061434132166,0.042978999363593104,100,0.4120347619056702,0.08102453864034731,1,0.18099610223702134,0.043121728397081914,200,0.7826581954956054,0.16582074358940194,1
SS-M,864,0.0803483007921222,0.03953516981910099,30,0.8054333806037903,0.007033581242994995,3,0.05192828255702521,0.02687481398486041,50,1.502311384677887,0.10034295693492397,2,0.038900518707487966,0.009968473814276365,100,2.740550708770752,0.27168940198316344,2,0.03209294909494095,0.005455514271658219,200.0,3.6853187918663024,0.3916385597682149,2.0,0.00744208856985582,0.0037423607623645024,30.0,0.3292624711990356,0.007011138274917345,1.0,0.005041849373733094,0.00173540087921022,50,0.48860844373703005,0.012391943629331204,1,0.00426493747643391,0.0012940295125122747,100,0.8925650715827942,0.062062473695141146,1,0.004051522788134285,0.0012585797327807798,200,1.115536916255951,0.17758199441655734,1
SS-N,53662,0.6230494191627792,0.04063110664736307,30,0.3909865260124207,0.03976107505419126,3,0.5982261451390432,0.04051562195570451,50,0.6371939182281494,0.039312780055835904,3,0.5657181404159619,0.04179530181310965,100,1.1889112830162047,0.16951421619253548,2,0.5280590790522195,0.037851513989997594,200.0,4.842557370662689,0.36296463002180995,2.0,0.15327233935278478,0.01886672435700025,30.0,0.33642399311065674,0.0247446328249019,1.0,0.1383108895288529,0.013456851686645146,50,0.36359856128692625,0.004013256257312598,1,0.12485030894799372,0.014760176251708078,100,0.899759030342102,0.10200629629620826,1,0.10708195962791778,0.01759205196260544,200,1.3897933840751648,0.005635704383910732,1
SS-O,972,0.4346688625532053,0.05442577023565496,30,0.3045796871185303,0.021418768170126463,3,0.4217074235659354,0.05781093409703796,50,0.5478045344352722,0.03470301246557654,3,0.37433468479891036,0.03249306012617167,100,1.6111228346824646,0.20516382949513104,2,0.3403412307256501,0.017152037868714998,200.0,2.59887318611145,0.33030101364980013,2.0,0.2010885827702487,0.029126371118486073,30.0,0.3735110402107239,0.004936685554752274,1.0,0.19356557010734138,0.025241823981199184,50,0.5624930739402771,0.00913532428890436,1,0.18222796057020624,0.004558971468063024,100,0.6824020981788635,0.008512273706873137,1,0.18152679749832715,0.004375562235926229,200,2.486891734600067,0.07326976037404005,1
SS-P,1023,0.2075985708219048,0.05325245733552281,30,0.29496883153915404,0.020056257699866107,2,0.187231480819061,0.022860738503360158,50,0.5690756916999817,0.038250520239844016,1,0.17256791046168668,0.00850826649323353,100,1.4475721836090087,0.18435766239745713,1,0.16527463668204712,0.005182529674158618,200.0,2.571734607219696,0.3707924438651716,1.0,0.21467447755961938,0.07783769465123934,30.0,0.33800902366638186,0.02993273354198201,2.0,0.19928474432218132,0.06062853282587529,50,0.30126625299453735,0.0282007860984359,2,0.1819061434132166,0.042978999363593104,100,0.40613125562667846,0.07869770375155594,1,0.18099610223702134,0.043121728397081914,200,0.5939692497253418,0.13151716438827898,1
SS-Q,2736,0.4951192948412997,0.02334592971839121,30,0.43551087379455566,0.022333468626896735,3,0.4806164764270635,0.012421720948843312,50,0.7557765722274781,0.032901655052757495,2,0.4740798580488936,0.0047012113641591675,100,2.8838231921195985,0.16958829274288278,2,0.4712876836180258,0.0016050771594877142,200.0,3.3529361367225645,0.3774231294820729,2.0,0.08037286091164814,0.03745790993901605,30.0,0.4945452451705933,0.041216378040509184,1.0,0.07748324549649792,0.033458125610558616,50,0.5103724837303162,0.006132894572193312,1,0.07529310762361614,0.03361544642407247,100,0.9592333436012268,0.038428856214625565,1,0.07472937671375293,0.03363500775888902,200,1.5677334785461425,0.38929335777886004,1
SS-R,3008,0.48351569357236607,0.011153466370325063,30,0.4597501397132874,0.037309872593249596,3,0.47866840121448584,0.009861947900393008,50,0.5871849417686462,0.029171150735558916,3,0.46984265841401,0.006721617531229725,100,1.5671568393707276,0.18376093597279494,2,0.46699887058140604,0.005949037020159026,200.0,2.906276082992554,0.34208620934790857,2.0,0.18692629630561722,0.02143504242091738,30.0,0.3792129158973694,0.0019863381296208143,1.0,0.17794130901788616,0.010362480413598643,50,0.33832129240036013,0.0034788223540435682,1,0.17322511753972297,0.008270953264066084,100,0.6651558518409729,0.010652738971017307,1,0.1713371467400991,0.007408190937991723,200,1.5951680183410644,0.231482386101247,1
