Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-Commits0000,10000,0.2486454239688778,0.056883729896415026,30,0.4917084813117981,0.011167565679719249,2,0.2265318271623741,0.052055389450509755,50,0.8556015133857727,0.03497156609114653,2,0.22013590846263598,0.04949241478673432,100,1.9777395129203796,0.057683917119413536,2,0.17358281017790853,0.05493486160612948,200,4.866802644729614,0.3195618400275495,1,0.17019238556494468,0.06337471026556862,30,0.46382339000701905,0.003996519295391594,1,0.15915321296579843,0.05639204126947618,50,0.7400190472602844,0.013816652230993057,1,0.14932119734776061,0.06102243984208811,100.0,1.3213041782379151,0.08721442548218393,1.0,0.14568263438256965,0.06052661430016248,200.0,2.5513930201530455,0.3734482794393718,1.0
Health-Commits0001,10000,0.16496217525873466,1.4663096647481208e-05,30,0.5553410530090332,0.0077360830567129914,3,0.16495727028645774,2.2592333665331856e-07,50,0.9680388689041137,0.030409066843518462,2,0.16495721976846375,1.1637151047855192e-16,100,2.372627067565918,0.30608891813084965,2,0.16495721976846373,1.1878539877015347e-16,200,4.038418543338776,0.2593549885384614,2,0.16496231242538753,2.150984823944601e-05,30,0.4549585223197937,0.003979832815802519,3,0.16461133773401088,0.0010553807090559575,50,0.5514799952507019,0.006650237317852451,1,0.16458801189401032,0.001119241463482195,100.0,1.020308291912079,0.03604790321898038,1.0,0.1645795384544153,0.0011194678076791329,200.0,2.3285526633262634,0.28830017180083545,1.0
Health-Commits0002,10000,0.4790269947021226,0.07293861639831681,30,0.5284394145011901,0.0030569014872408808,3,0.4789936933670007,0.07292754218940657,50,0.6660313248634339,0.03270060083954139,3,0.47624543609190184,0.07296429469056519,100,2.249221694469452,0.05862145297364149,3,0.4349413555561978,0.10731008179534761,200,3.865454924106598,0.2820421205995952,2,0.4776509133659953,0.07615985575983444,30,0.29866847991943357,0.004580888516926551,3,0.4590704961816165,0.09027058791003202,50,0.5305930852890015,0.024816472162437916,3,0.4008791701307864,0.12425127202762289,100.0,0.982473886013031,0.09200311283444176,1.0,0.33276368636787124,0.13795684115807394,200.0,1.4389159440994264,0.4320075503006589,1.0
Health-Commits0003,10000,0.37248242160830036,0.03908197118598126,30,0.3856216549873352,0.0026683294205274463,2,0.3561103501171463,0.033903996035042246,50,0.658072316646576,0.029307092730214153,2,0.3348919191012051,0.022754543303383952,100,1.6365634441375732,0.06093593858589927,1,0.32007105231859523,0.02423400393013851,200,3.8464947938919067,0.26357742634764925,1,0.3494359881619529,0.04202698480502926,30,0.3025655150413513,0.002547747129272863,2,0.32908802082510136,0.045024321320022646,50,0.7887949466705322,0.02021963386078806,1,0.3061463183717793,0.05375916649663952,100.0,1.4854283690452577,0.20009426253392698,1.0,0.28965500109020037,0.05717700034542899,200.0,1.532661497592926,0.3909555801158654,1.0
Health-Commits0004,10000,0.22543534421884764,0.0022099899363566392,30,0.4356468081474304,0.017007497620104905,3,0.22497941318730516,0.002854064787828134,50,0.6653167247772217,0.033713951645458075,3,0.22301427287780534,0.005447528133370631,100,1.4979013442993163,0.04434906347617761,2,0.22249450689546085,0.005268113994278602,200,2.5429794073104857,0.3027336675437676,2,0.22460184275750344,0.0033935987360933606,30,0.4246274471282959,0.008502098626327313,3,0.22017930273334688,0.009633185481665389,50,0.4898570656776428,0.02196348998675245,1,0.2181715672322952,0.010478871196585112,100.0,1.2421025395393372,0.23884679050410484,1.0,0.21640023695465813,0.011682953100507192,200.0,2.995241606235504,0.6101852181308866,1.0
Health-Commits0005,10000,0.208725716327814,0.021555341212820357,30,0.3700156569480896,0.0019280661971561972,3,0.19470476755925584,0.018186086612380768,50,0.6426334261894227,0.02495095381444366,2,0.18718379103278432,0.012987188447460933,100,1.7139230847358704,0.2073520082578716,1,0.1796891837916513,0.012737177428199105,200,2.9368244886398314,0.28976458595054766,1,0.20576694471885154,0.0247645194151659,30,0.31463404893875124,0.0030906777307793377,3,0.1944819146758576,0.02446348987674934,50,0.5193217635154724,0.003920142439297934,2,0.18303140283810893,0.026074750993425825,100.0,1.0573839664459228,0.05609746020327474,1.0,0.17752703155629562,0.024201864282403854,200.0,2.4734131574630736,0.24569093061768923,1.0
Health-Commits0006,10000,0.30017920992280356,0.01281400559968776,30,0.5383723855018616,0.0065803486842913594,3,0.29820028017358907,0.0126862337315933,50,0.6562366127967835,0.025006814858741233,3,0.2884808234613599,0.015017235192599045,100,1.5279850363731384,0.05327230045832838,2,0.27674596584873057,0.015269706594491627,200,2.5649174571037294,0.2990164491920413,1,0.28440080211303725,0.026140331893990235,30,0.31587847471237185,0.007772255756505773,2,0.2701941210966686,0.03233426657018998,50,0.4883693218231201,0.052386540056994516,1,0.2600385803981879,0.03305103578466362,100.0,1.198129904270172,0.2661271801558045,1.0,0.25274249816350436,0.03242040316049632,200.0,2.7770449995994566,0.8733487077845914,1.0
Health-Commits0007,10000,0.23115860683853873,0.026616379308362494,30,0.6691062211990356,0.01733532258709313,2,0.22081030612760064,0.026567017461846303,50,0.6910172462463379,0.03886069516728558,2,0.2027531979157715,0.01514059125649795,100,1.6379388213157653,0.05989802181674057,1,0.19756694711008183,0.013482266789721635,200,5.516684556007386,0.43411704995909617,1,0.2016037318926967,0.026359451005439048,30,0.3120866060256958,0.0017344977906114546,1,0.19761766254080604,0.027526784436807707,50,0.9791999816894531,0.05619781246782147,1,0.18537263892820804,0.0260581084744448,100.0,0.9808330655097961,0.05105558638051283,1.0,0.17799935850683474,0.02455747147176098,200.0,1.8934942841529847,0.2545610353280103,1.0
Health-Commits0008,10000,0.3899038416412234,0.02532761378934381,30,0.682447612285614,0.016782800643660032,3,0.37957343450016073,0.025025347740704394,50,0.6527822375297546,0.02426134452626358,3,0.36129719729974485,0.018999974810176064,100,1.5039117813110352,0.042223972036635984,2,0.3474980631568897,0.021973855150398416,200,3.1635182380676268,0.2895332231886718,1,0.3664522893550763,0.033229148147520114,30,0.3030000805854797,0.003246185022038081,2,0.3444769457689582,0.042400071704566736,50,0.5230636477470398,0.031123206237453606,1,0.3313046775013946,0.04374833889067945,100.0,0.9398550391197205,0.11547152403102288,1.0,0.3184044074689435,0.041202338239389145,200.0,1.403092896938324,0.4042564966761775,1.0
Health-Commits0009,10000,0.13994713774822973,0.005118362680112246,30,0.407909619808197,0.005462593069560298,3,0.13840227026187882,0.005259649931268638,50,0.6517923712730408,0.025550153796998203,3,0.1355009552726139,0.005317917043591762,100,2.2751054644584654,0.12019923331870526,2,0.13195084481956193,0.006016764782376736,200,4.203132319450378,0.33326658086984323,1,0.13704508851471453,0.008234634109645964,30,0.559257197380066,0.004235419606132559,2,0.13465744858259365,0.008516719955308897,50,0.5034944176673889,0.01581997592686401,2,0.1321664244223698,0.009111315824838071,100.0,1.4961316585540771,0.12575097477952968,1.0,0.12852862125496187,0.009227421380728101,200.0,1.6268143892288207,0.2913602989962347,1.0
Health-Commits0010,10000,0.3029837329382225,0.016479194815365958,30,0.42367494106292725,0.016280614747655298,2,0.298294455158775,0.013291033916631964,50,1.1931712746620178,0.05938148814195984,2,0.2900942009487451,0.008024497064601776,100,1.4934849381446837,0.042528502480925254,1,0.286117744487492,0.007967679994317961,200,3.0022534132003784,0.2890700392422705,1,0.29721975925386374,0.01724580322755924,30,0.4409435987472534,0.00582331429839353,2,0.2925061545428026,0.016410364356402994,50,0.8551729559898377,0.05396921511004148,2,0.28599970416320275,0.01571520896862741,100.0,1.240376055240631,0.173962879971582,1.0,0.27820717176613863,0.013785696834233007,200.0,3.861059617996216,0.04003460334099654,1.0
Health-Commits0011,10000,0.042710024895647625,0.05156914900816923,30,0.406006908416748,0.004706333328520117,2,0.025238950955645538,0.019714355059324517,50,1.080964159965515,0.08096385325145095,1,0.012186903572664543,0.012322101531001805,100,2.664109539985657,0.06643451706393474,1,0.00800720449174967,0.006398518716900408,200,2.8723323702812196,0.28841070135041685,1,0.045710511946630686,0.060989078182830045,30,0.30682973861694335,0.003311791792044737,2,0.025122900894642447,0.043815799493095914,50,0.7664007306098938,0.032557338380619236,1,0.013442886710157375,0.035378422559543356,100.0,1.2660699963569642,0.17241089004763313,1.0,0.01280114715334148,0.035521179387852556,200.0,2.587787628173828,0.24566938149098394,1.0
