Dataset,Rows,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedPRs0008,10000,0.18253508688158365,0.00028514743010002577,30,0.5275827169418335,0.03974346859720507,1,0.1822551718884987,0.0004021162680395523,50,0.9934776663780213,0.014781991875638782,1,0.181939479998089,0.0004142834313258787,100,2.019154405593872,0.05355254810555231,1,0.18161254220529027,0.0004185736152067485,200.0,5.839533364772796,0.40949649810177163,1.0,0.5576964136362242,0.12627331232457079,30,0.30874587297439576,0.004923288466971367,3,0.4507049359345726,0.17394344733742115,50,0.523919141292572,0.041166032643355575,2,0.41551516594012694,0.19070314132406876,100.0,0.8853743314743042,0.22077849031838748,2.0,0.4139035651532866,0.19156863527327325,200.0,2.4730019211769103,1.1422557951300678,2.0
Health-ClosedPRs0009,10000,0.29683987278404994,0.0053300877125620535,30,0.6814938426017761,0.03987961220212283,1,0.29553632943662445,0.006438692358716034,50,0.9034361720085144,0.007303854442241775,1,0.2914966527267665,0.008243076872076715,100,1.667624831199646,0.04801190983558194,1,0.27831679272696064,0.01730992680308681,200.0,5.286033570766449,0.35266374121455113,1.0,0.5855812691741719,0.139434069840827,30,0.32018495798110963,0.004663338685126694,2,0.5308717370911491,0.16271748261077654,50,0.7274855136871338,0.07021881223611702,2,0.4850391701888855,0.17486939197552107,100.0,1.2872346758842468,0.17402231297027676,2.0,0.4810666145335879,0.17655447388116743,200.0,2.339808797836304,0.5457193294440273,2.0
Health-ClosedPRs0010,10000,0.4305991690924767,0.015584285084742843,30,0.5009183883666992,0.03490831390519696,4,0.41954548051813123,0.026725118891064666,50,1.1532632112503052,0.020660269916503382,4,0.40900606556961366,0.025869011538295468,100,2.031173014640808,0.07628180284213652,3,0.3957125832859477,0.022776632507985065,200.0,5.037536263465881,0.25887899358562527,3.0,0.36398041623889565,0.13597995634200835,30,0.4071220397949219,0.0054274977430695225,2,0.326472973056087,0.13322522860351765,50,0.6599358081817627,0.03468860968301057,1,0.294569167761235,0.11544673483245267,100.0,0.958400285243988,0.1096047920840588,1.0,0.27184337681707654,0.10128558175406059,200.0,2.573913264274597,0.4592781897225819,1.0
Health-ClosedPRs0011,10000,0.561283029411525,0.0009287456785407966,30,0.5987987160682678,0.04034695565495552,2,0.5610768494796154,0.0011710208270071555,50,0.8898227453231812,0.012212635632513555,2,0.560585127184884,0.002175618849434517,100,2.1196940183639525,0.07520079199326145,2,0.559623298134609,0.005224689982714354,200.0,5.16629159450531,0.2772275396906077,2.0,0.0,0.0,30,0.39955190420150755,0.00528019731175252,1,0.0,0.0,50,0.667655861377716,0.008183934121452003,1,0.0,0.0,100.0,1.3363574028015137,0.014617375905288846,1.0,0.0,0.0,200.0,3.593744623661041,0.18335815907904854,1.0
Health-Commits0000,10000,0.07067847610363312,0.0032326354937920227,30,0.49902341365814207,0.03706978521156802,1,0.06923316174185089,0.003105587100210978,50,1.0170420289039612,0.05067811904061772,1,0.06626834261102356,0.003550962530308761,100,1.9655399441719055,0.05757425237344638,1,0.06136498749018728,0.005009378782484462,200.0,2.5668347597122194,0.4080035145625416,1.0,0.17019238556494468,0.06337471026556862,30,0.46382339000701905,0.003996519295391594,2,0.15915321296579843,0.05639204126947618,50,0.7400190472602844,0.013816652230993057,2,0.14932119734776061,0.06102243984208811,100.0,1.3213041782379151,0.08721442548218393,2.0,0.14568263438256965,0.06052661430016248,200.0,2.5513930201530455,0.3734482794393718,2.0
Health-Commits0001,10000,0.21529653762973666,0.0035879218808902865,30,0.5052082419395447,0.03730032176444512,4,0.212802298061673,0.003209024223836554,50,1.1751093506813048,0.12632091511625548,3,0.21066702315261515,0.003655532375585019,100,1.8707061052322387,0.0491609084178302,3,0.20625895566954208,0.004308547899465861,200.0,4.6149519920349125,0.37028468559960187,2.0,0.16496231242538753,2.150984823944601e-05,30,0.4549585223197937,0.003979832815802519,1,0.16461133773401088,0.0010553807090559575,50,0.5514799952507019,0.006650237317852451,1,0.16458801189401032,0.001119241463482195,100.0,1.020308291912079,0.03604790321898038,1.0,0.1645795384544153,0.0011194678076791329,200.0,2.3285526633262634,0.28830017180083545,1.0
Health-Commits0002,10000,0.1274621988365549,0.008071177870376617,30,0.56952805519104,0.041673287038985526,1,0.12088777987365032,0.020398273973580065,50,0.9761886835098267,0.02785535089650108,1,0.11906338889827324,0.020120382705360162,100,1.8302000164985657,0.23927955526939726,1,0.11512816400203925,0.019678978362714983,200.0,4.165706849098205,0.38905047526994657,1.0,0.4776509133659953,0.07615985575983444,30,0.29866847991943357,0.004580888516926551,3,0.4590704961816165,0.09027058791003202,50,0.5305930852890015,0.024816472162437916,3,0.4008791701307864,0.12425127202762289,100.0,0.982473886013031,0.09200311283444176,2.0,0.33276368636787124,0.13795684115807394,200.0,1.4389159440994264,0.4320075503006589,2.0
Health-Commits0003,10000,0.37797373529319545,0.058761068959768535,30,0.534730339050293,0.02904224596272896,3,0.35139189469184967,0.057638172068731126,50,0.6902089357376099,0.01393802288657007,2,0.30798172527230466,0.035412623123155074,100,1.6865968346595763,0.18449529245071294,1,0.2801284185080687,0.02197061404235528,200.0,5.11625429391861,0.28269750545704453,1.0,0.3494359881619529,0.04202698480502926,30,0.3025655150413513,0.002547747129272863,2,0.32908802082510136,0.045024321320022646,50,0.7887949466705322,0.02021963386078806,2,0.3061463183717793,0.05375916649663952,100.0,1.4854283690452577,0.20009426253392698,1.0,0.28965500109020037,0.05717700034542899,200.0,1.532661497592926,0.3909555801158654,1.0
Health-Commits0004,10000,0.4567485054877481,0.07873769278614373,30,0.41011111736297606,0.03304847689726835,3,0.42975618757217565,0.06389874359241018,50,0.6578300476074219,0.020637897779434124,3,0.4031431542077386,0.053383475400008554,100,1.5767496943473815,0.04747649879982177,2,0.3829674524266643,0.04148032364894953,200.0,2.5666035771369935,0.3299443962647408,2.0,0.22460184275750344,0.0033935987360933606,30,0.4246274471282959,0.008502098626327313,1,0.22017930273334688,0.009633185481665389,50,0.4898570656776428,0.02196348998675245,1,0.2181715672322952,0.010478871196585112,100.0,1.2421025395393372,0.23884679050410484,1.0,0.21640023695465813,0.011682953100507192,200.0,2.995241606235504,0.6101852181308866,1.0
Health-Commits0005,10000,0.4991264259304412,0.013369352085770956,30,0.37657374143600464,0.027965233882690576,3,0.494751079055438,0.007634522441489905,50,0.6637162208557129,0.02306354422906873,3,0.48648728645974704,0.006948201010472298,100,1.6972504019737245,0.20563662063647922,2,0.4813072321040407,0.006938313102861812,200.0,3.561539041996002,0.33491996824184916,2.0,0.20576694471885154,0.0247645194151659,30,0.31463404893875124,0.0030906777307793377,1,0.1944819146758576,0.02446348987674934,50,0.5193217635154724,0.003920142439297934,1,0.18303140283810893,0.026074750993425825,100.0,1.0573839664459228,0.05609746020327474,1.0,0.17752703155629562,0.024201864282403854,200.0,2.4734131574630736,0.24569093061768923,1.0
