Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,MOEAD-30_mean,MOEAD-30_std,MOEAD-30_budget,MOEAD-30_runtime_mean,MOEAD-30_runtime_std,MOEAD-30_tier,MOEAD-50_mean,MOEAD-50_std,MOEAD-50_budget,MOEAD-50_runtime_mean,MOEAD-50_runtime_std,MOEAD-50_tier,MOEAD-100_mean,MOEAD-100_std,MOEAD-100_budget,MOEAD-100_runtime_mean,MOEAD-100_runtime_std,MOEAD-100_tier,MOEAD-200_mean,MOEAD-200_std,MOEAD-200_budget,MOEAD-200_runtime_mean,MOEAD-200_runtime_std,MOEAD-200_tier
Health-ClosedPRs0006,10000,0.37100729034632846,0.12058042679623816,30,0.5552054405212402,0.008063728541694876,4,0.2798952097863339,0.10605884540343133,50,0.966616153717041,0.037637307654773015,3,0.22478321386588712,0.08542340304471044,100,2.766181492805481,0.07366077943493829,2,0.18920315499374132,0.07765140192503076,200,5.347454035282135,0.4394925782532707,1,inf,nan,30,130.89658439159393,0.13861862311919626,5,inf,nan,50,130.79157269001007,0.36396775393393516,5,inf,nan,100,130.85058900117875,0.09961935128527644,5,inf,nan,200,130.79622855186463,0.6176915874380463,5
Health-ClosedPRs0007,10000,0.12517115086015979,0.06986684822940038,30,0.6561476707458496,0.003462272977477455,4,0.09205785052676382,0.03905860177154526,50,0.9007498621940613,0.04866126465965866,3,0.06467082196091065,0.025948984789225363,100,2.097175407409668,0.09149003485985308,2,0.050784979824020804,0.0163811988942312,200,5.122134578227997,0.44992501710175414,1,inf,nan,30,130.93931447267533,0.23400208943188272,5,inf,nan,50,130.8644825220108,0.08828337681091303,5,inf,nan,100,130.94330177307128,0.24551982484063192,5,inf,nan,200,130.73566281795502,0.4817688763836772,5
Health-ClosedPRs0008,10000,0.6656898869329861,0.08978477018113905,30,0.7198309779167176,0.008543045070173528,4,0.6193870780140072,0.056388162127454275,50,1.4348556280136109,0.043646939021845355,3,0.6013804982015969,0.031337707838986886,100,2.107730448246002,0.09636811992560465,2,0.5775668025630234,0.0163463532178252,200,6.660654413700104,0.1491592321545887,1,inf,nan,30,130.87344566583633,0.022256434677447385,5,inf,nan,50,130.78011999130248,0.2047936709459827,5,inf,nan,100,130.7347325563431,0.3923926950875181,5,inf,nan,200,130.88354437351228,0.028869352886194907,5
Health-ClosedPRs0009,10000,0.5636417330908162,0.11994995874913522,30,0.6410507082939148,0.004290091564463848,4,0.5414945790497884,0.11634740515108814,50,0.9712330222129821,0.03965857169535011,3,0.4992604553848087,0.11575221622996715,100,2.356380808353424,0.18267018037769864,2,0.4169716976940002,0.08408622761272408,200,5.635240161418915,0.4647415236179777,1,inf,nan,30,130.85450413227082,0.06900104734925654,5,inf,nan,50,131.09841368198394,0.6584933888311817,5,inf,nan,100,130.78818838596345,0.6230835650500639,5,inf,nan,200,130.7599251627922,0.053886340626539464,5
Health-ClosedPRs0010,10000,0.4727297011511363,0.061374856842373635,30,0.5163657069206238,0.007847635743571642,4,0.4549404365281002,0.061613758722262525,50,0.9445401906967164,0.041554785755955545,3,0.41895579051129184,0.04905009657334587,100,2.059606683254242,0.0623636565121121,2,0.3681171651992586,0.05870641036444237,200,5.098499059677124,0.30537802501145134,1,inf,nan,30,131.13297864198685,0.7533494601842711,5,inf,nan,50,130.76203907728194,0.2819644216803231,5,inf,nan,100,130.7416934132576,0.42675330605456563,5,inf,nan,200,130.79282267093657,0.24917360233030492,5
Health-ClosedPRs0011,10000,0.0,0.0,30,0.48637934923172,0.006237670050031079,1,0.0,0.0,50,0.9160919308662414,0.06674256266328603,2,0.0,0.0,100,1.924985945224762,0.06186623869423135,3,0.0,0.0,200,4.793130254745483,0.20863467389451776,4,inf,nan,30,130.9593760728836,0.21113282685629772,5,inf,nan,50,131.00058513879776,0.3678232289282282,5,inf,nan,100,130.77963836193084,0.36914087765853326,5,inf,nan,200,130.9695762872696,0.2394832558485084,5
Health-Commits0000,10000,0.2486454239688778,0.056883729896415026,30,0.4917084813117981,0.011167565679719249,4,0.2265318271623741,0.052055389450509755,50,0.8556015133857727,0.03497156609114653,3,0.22013590846263598,0.04949241478673432,100,1.9777395129203796,0.057683917119413536,2,0.17358281017790853,0.05493486160612948,200,4.866802644729614,0.3195618400275495,1,inf,nan,30,130.77238051891328,0.49088822639500346,5,inf,nan,50,131.1140719652176,0.9268645052823226,5,inf,nan,100,130.7303725838661,0.4900292892498123,5,inf,nan,200,130.78983461856842,0.39242820781325977,5
Health-Commits0001,10000,0.16496217525873466,1.4663096647481208e-05,30,0.5553410530090332,0.0077360830567129914,4,0.16495727028645774,2.2592333665331856e-07,50,0.9680388689041137,0.030409066843518462,3,0.16495721976846375,1.1637151047855192e-16,100,2.372627067565918,0.30608891813084965,2,0.16495721976846373,1.1878539877015347e-16,200,4.038418543338776,0.2593549885384614,1,inf,nan,30,130.94648430347442,0.5031512090814643,5,inf,nan,50,130.74808611869813,0.43984197212357756,5,inf,nan,100,131.15068551301957,0.678660059885172,5,inf,nan,200,130.83352596759795,0.2712254979390174,5
Health-Commits0002,10000,0.4790269947021226,0.07293861639831681,30,0.5284394145011901,0.0030569014872408808,4,0.4789936933670007,0.07292754218940657,50,0.6660313248634339,0.03270060083954139,3,0.47624543609190184,0.07296429469056519,100,2.249221694469452,0.05862145297364149,2,0.4349413555561978,0.10731008179534761,200,3.865454924106598,0.2820421205995952,1,inf,nan,30,130.9021898508072,0.2869218211880265,5,inf,nan,50,130.83133201599122,0.4413791866921185,5,inf,nan,100,130.87245004177095,0.0904567183602645,5,inf,nan,200,130.95499967336656,0.31249843437116653,5
Health-Commits0003,10000,0.37248242160830036,0.03908197118598126,30,0.3856216549873352,0.0026683294205274463,4,0.3561103501171463,0.033903996035042246,50,0.658072316646576,0.029307092730214153,3,0.3348919191012051,0.022754543303383952,100,1.6365634441375732,0.06093593858589927,2,0.32007105231859523,0.02423400393013851,200,3.8464947938919067,0.26357742634764925,1,inf,nan,30,130.77821484804153,0.40879448955140996,5,inf,nan,50,130.91368997097015,0.42296674999564826,5,inf,nan,100,130.75932748317717,0.4027454359386791,5,inf,nan,200,130.88714040517806,0.08683620950673593,5
