Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedPRs0008,10000,0.6400246510032422,0.08878240004736168,30,5.212337481975555,0.5713519443015977,3,0.5827976454327378,0.11389622086999478,50,6.888637232780456,1.1224703400432066,2,0.5293693638860644,0.13017514092728133,100,19.766622030735014,3.3287870829792223,2,0.36380117429315006,0.20663110799730974,200,33.789453864097595,7.632097325202544,1,0.5576964136362242,0.12627331232457079,30,0.30874587297439576,0.004923288466971367,2,0.4507049359345726,0.17394344733742115,50,0.523919141292572,0.041166032643355575,1,0.41551516594012694,0.19070314132406876,100.0,0.8853743314743042,0.22077849031838748,1.0,0.4139035651532866,0.19156863527327325,200.0,2.4730019211769103,1.1422557951300678,1.0
Health-ClosedPRs0009,10000,0.5327853217186651,0.15634203103482236,30,3.694566822052002,0.503382032063566,2,0.5073746781792706,0.16339899288269688,50,7.342130076885224,0.9883912848195804,2,0.47209464223088826,0.16219294367345163,100,14.846194851398469,2.0091709945796783,1,0.38970828918408096,0.1512761800273559,200,29.372008287906645,7.208247116657762,1,0.5855812691741719,0.139434069840827,30,0.32018495798110963,0.004663338685126694,2,0.5308717370911491,0.16271748261077654,50,0.7274855136871338,0.07021881223611702,2,0.4850391701888855,0.17486939197552107,100.0,1.2872346758842468,0.17402231297027676,1.0,0.4810666145335879,0.17655447388116743,200.0,2.339808797836304,0.5457193294440273,1.0
Health-ClosedPRs0010,10000,0.42924753659871523,0.10527235456479699,30,4.011850249767304,0.5448999705543577,2,0.36874257168684915,0.11840479540202323,50,7.11643352508545,1.1199844728056296,2,0.284689234273289,0.0681012429462361,100,15.358136630058288,2.2566936385503475,1,0.24303231590784397,0.04635856821737142,200,27.550702810287476,7.620994968755095,1,0.36398041623889565,0.13597995634200835,30,0.4071220397949219,0.0054274977430695225,2,0.326472973056087,0.13322522860351765,50,0.6599358081817627,0.03468860968301057,1,0.294569167761235,0.11544673483245267,100.0,0.958400285243988,0.1096047920840588,1.0,0.27184337681707654,0.10128558175406059,200.0,2.573913264274597,0.4592781897225819,1.0
Health-ClosedPRs0011,10000,0.0,0.0,30,3.4455277919769287,0.34085415638375915,1,0.0,0.0,50,6.259992289543152,0.9485309941040387,1,0.0,0.0,100,14.666358828544617,2.120647987733252,1,0.0,0.0,200,25.598368978500368,7.565451737591265,1,0.0,0.0,30,0.39955190420150755,0.00528019731175252,1,0.0,0.0,50,0.667655861377716,0.008183934121452003,1,0.0,0.0,100.0,1.3363574028015137,0.014617375905288846,1.0,0.0,0.0,200.0,3.593744623661041,0.18335815907904854,1.0
Health-Commits0000,10000,0.18350053134832084,0.05757888450866977,30,3.699045944213867,0.41981819250660984,2,0.18517328551250667,0.059445477891663545,50,7.538359081745147,0.9927515336835514,2,0.14128375440890534,0.05221256692560032,100,15.142926490306854,3.08008315707053,1,0.11985836138656233,0.04730582880308294,200,27.192173552513122,7.624235434402472,1,0.17019238556494468,0.06337471026556862,30,0.46382339000701905,0.003996519295391594,2,0.15915321296579843,0.05639204126947618,50,0.7400190472602844,0.013816652230993057,2,0.14932119734776061,0.06102243984208811,100.0,1.3213041782379151,0.08721442548218393,1.0,0.14568263438256965,0.06052661430016248,200.0,2.5513930201530455,0.3734482794393718,1.0
Health-Commits0001,10000,0.16495795125887355,3.2713245618273788e-06,30,3.559454083442688,0.43002883828952126,3,0.16495721976846392,3.2512020012094713e-16,50,6.5551252365112305,0.9424635234142191,3,0.16495149897766542,2.5584154220259783e-05,100,14.567101764678956,1.919555448716435,2,0.16461348732293074,0.0011073463933880278,200,26.027818393707275,7.019988823160453,1,0.16496231242538753,2.150984823944601e-05,30,0.4549585223197937,0.003979832815802519,3,0.16461133773401088,0.0010553807090559575,50,0.5514799952507019,0.006650237317852451,1,0.16458801189401032,0.001119241463482195,100.0,1.020308291912079,0.03604790321898038,1.0,0.1645795384544153,0.0011194678076791329,200.0,2.3285526633262634,0.28830017180083545,1.0
Health-Commits0002,10000,0.4732744666161068,0.06968082420876108,30,4.055561292171478,0.6135802306092616,3,0.42872460037372245,0.10757227412777284,50,6.927295935153961,0.9157086873616475,2,0.3410651499571339,0.13683950955839833,100,15.363542866706847,1.9389672469880228,1,0.2549185221862955,0.1072403295240084,200,25.966891753673554,6.4577338386075285,1,0.4776509133659953,0.07615985575983444,30,0.29866847991943357,0.004580888516926551,3,0.4590704961816165,0.09027058791003202,50,0.5305930852890015,0.024816472162437916,3,0.4008791701307864,0.12425127202762289,100.0,0.982473886013031,0.09200311283444176,2.0,0.33276368636787124,0.13795684115807394,200.0,1.4389159440994264,0.4320075503006589,1.0
Health-Commits0003,10000,0.354235442975151,0.04539234324062218,30,4.683537757396698,0.5358970322936493,3,0.3334569994184379,0.03344202153614834,50,8.522471511363984,1.0125856332431833,2,0.3054335311329225,0.031873462069610475,100,16.823015367984773,1.7463553972191876,1,0.29096243334999106,0.03304722574769255,200,31.376788127422333,7.1169212135728745,1,0.3494359881619529,0.04202698480502926,30,0.3025655150413513,0.002547747129272863,3,0.32908802082510136,0.045024321320022646,50,0.7887949466705322,0.02021963386078806,2,0.3061463183717793,0.05375916649663952,100.0,1.4854283690452577,0.20009426253392698,1.0,0.28965500109020037,0.05717700034542899,200.0,1.532661497592926,0.3909555801158654,1.0
Health-Commits0004,10000,0.22501108705326184,0.003432823435917584,30,4.8719367504119875,0.5354025129872465,2,0.2239514133992866,0.006540171014596752,50,8.551316905021668,0.8972330163990606,2,0.21912990569270302,0.011027707366532174,100,17.23382431268692,3.391337078348558,1,0.21593059484250277,0.01069161925558833,200,31.37098467350006,7.850735426198661,1,0.22460184275750344,0.0033935987360933606,30,0.4246274471282959,0.008502098626327313,2,0.22017930273334688,0.009633185481665389,50,0.4898570656776428,0.02196348998675245,1,0.2181715672322952,0.010478871196585112,100.0,1.2421025395393372,0.23884679050410484,1.0,0.21640023695465813,0.011682953100507192,200.0,2.995241606235504,0.6101852181308866,1.0
Health-Commits0005,10000,0.20780954842992921,0.03174283185682231,30,4.857391941547394,0.5346841431080266,3,0.1944463189826258,0.021904738356511418,50,9.34137338399887,1.1089991332273657,2,0.18396053468883605,0.02233487001789111,100,17.23681992292404,3.2585512157683603,1,0.17136145964886454,0.01824302859650596,200,33.25465086698532,7.223260918559972,1,0.20576694471885154,0.0247645194151659,30,0.31463404893875124,0.0030906777307793377,3,0.1944819146758576,0.02446348987674934,50,0.5193217635154724,0.003920142439297934,2,0.18303140283810893,0.026074750993425825,100.0,1.0573839664459228,0.05609746020327474,1.0,0.17752703155629562,0.024201864282403854,200.0,2.4734131574630736,0.24569093061768923,1.0
