Dataset,Rows,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.3428794180165825,0.06732838871638615,30,0.4580446004867554,0.005483708422571722,2,0.2925190613608344,0.05145429143665829,50,0.7575646758079528,0.010466355546111753,1,0.2620666039918728,0.03403199401757365,100,1.2779393315315246,0.15756455836931357,1,0.25162997240979357,0.03298518961522106,200,2.30347398519516,0.31633606086938754,1,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,2,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.4845602003885533,0.007857529856221835,30,0.5710184216499329,0.010061008021884697,3,0.47991640936031965,0.006309901923753381,50,0.9560935497283936,0.010686695919958435,2,0.4758534646935277,0.007036272677564723,100,1.4033156633377075,0.1293739029770077,1,0.46563110989782686,0.008744229351169457,200,3.7757851839065553,0.22149000946000838,1,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,3,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,2,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,1.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,1.0
Health-ClosedIssues0011,10000,0.06378762415411904,0.05468782905772773,30,0.5652207970619202,0.005953860865294588,2,0.03247251046279477,0.040114386733549244,50,0.8243118643760681,0.04453094242336613,1,0.007226258967344165,0.010304742901189264,100,1.9619139432907104,0.03725865592356263,1,0.0017466877645202152,0.001588994866230419,200,4.275335204601288,0.1261174582558521,1,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,2,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,1,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30,0.33918132781982424,0.004958149511659226,1,0.0,0.0,50,0.6251851677894592,0.010379831849065567,1,0.0,0.0,100,1.2692467093467712,0.03743540153314089,1,0.0,0.0,200,2.405310034751892,0.05471796788617772,1,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.02109859126573969,0.00011465521138019843,30,0.5294787645339966,0.010875629196735967,2,0.02097836802725273,0.0004086963921819924,50,0.8031305313110352,0.014258102514534486,2,0.020852566704661346,0.0006009327420438385,100,1.801525318622589,0.07044667227816244,2,0.02024868626821305,0.0008312028105114779,200,3.470013988018036,0.12612856429952343,1,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,2,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,2,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,2.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,2.0
Health-ClosedPRs0003,10000,0.0829636089857117,0.00025833227030044604,30,0.46050013303756715,0.008638066215271398,3,0.08271019089874551,0.0006752866928658155,50,0.7773659944534301,0.012629772970084316,2,0.082497786977923,0.0006424858510627439,100,1.8445626139640807,0.08806477515180036,1,0.08215040938545833,0.0007679446148544712,200,3.2664589047431947,0.5732274560021868,1,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,4,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,4,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,4.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,2.0
Health-ClosedPRs0004,10000,0.37100938340956857,0.10974974390006605,30,0.5192100405693054,0.008410433820557879,2,0.3072945512731323,0.036608890195166804,50,0.7909110069274903,0.027236613540623834,1,0.2863207968133288,0.008583254178306708,100,1.4788087606430054,0.14825142918451112,1,0.28139722297753356,0.006018990899379282,200,2.762461268901825,0.4768623475656968,1,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,2,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,1,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,1.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,1.0
Health-ClosedPRs0005,10000,0.003282711202888039,0.005274612708753825,30,0.5241439342498779,0.02927139845307849,2,0.0016290762205700391,0.004670949147334846,50,0.6835288524627685,0.014863022446173184,2,0.00010218590254856285,0.0004322653087273272,100,1.4263574719429015,0.04105870181146891,1,0.0,0.0,200,3.581184506416321,0.21575300888751417,1,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,2,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,1,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.28067997432914965,0.1637732516206373,30,0.44329993724822997,0.00554509581802425,2,0.21316956060856412,0.15287067162089804,50,0.8844548106193543,0.012903114874649745,2,0.09711925076389921,0.07171427571371793,100,1.6305490970611571,0.10014010417801607,1,0.05794121171273262,0.01911365987707928,200,3.93987557888031,0.35522822712004126,1,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,2,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.11934927875602701,0.10750508144472026,30,0.5695279002189636,0.009044267815621678,2,0.06927545972919888,0.04512235924198454,50,0.7315621972084045,0.016508252167500768,2,0.027738019785808726,0.01625254742950242,100,3.289474308490753,0.08584222841418657,1,0.016941885386486687,0.010711860039467034,200,3.501904010772705,0.1853206160056238,1,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,2,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
