Dataset,Rows,ILS-30_mean,ILS-30_std,ILS-30_budget,ILS-30_runtime_mean,ILS-30_runtime_std,ILS-30_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedPRs0008,10000,0.7610672062117465,0.124516362051504,30,0.4869533181190491,0.05274671880097496,3,0.7366728002931487,0.13088877246558472,50,0.6719834923744201,0.04471001905161122,3,0.694375015104505,0.14000546829243266,100,0.8717404007911682,0.0568330828087285,3,0.6088529783565289,0.18995986006691176,200,2.0904881596565246,0.20551496584174206,2,0.5576964136362242,0.12627331232457079,30,0.30874587297439576,0.004923288466971367,1,0.4507049359345726,0.17394344733742115,50,0.523919141292572,0.041166032643355575,1,0.41551516594012694,0.19070314132406876,100.0,0.8853743314743042,0.22077849031838748,1.0,0.4139035651532866,0.19156863527327325,200.0,2.4730019211769103,1.1422557951300678,1.0
Health-ClosedPRs0009,10000,0.6505751258367973,0.06948340500951729,30,0.4323683500289917,0.029573032548437662,3,0.6421315163704446,0.07069453582059292,50,0.6606344938278198,0.0409475861154362,3,0.6121672510512117,0.10888864807139094,100,1.2630015850067138,0.09032139596489305,2,0.5467501837236838,0.1533120898620221,200,2.3003929615020753,0.22979245565633005,1,0.5855812691741719,0.139434069840827,30,0.32018495798110963,0.004663338685126694,2,0.5308717370911491,0.16271748261077654,50,0.7274855136871338,0.07021881223611702,1,0.4850391701888855,0.17486939197552107,100.0,1.2872346758842468,0.17402231297027676,1.0,0.4810666145335879,0.17655447388116743,200.0,2.339808797836304,0.5457193294440273,1.0
Health-ClosedPRs0010,10000,0.5421230049309476,0.07022420283259713,30,0.43812572956085205,0.04482548863391171,3,0.5346862037801371,0.07325461922225597,50,0.43497821092605593,0.028756276519474364,3,0.483071169816003,0.1287472072749663,100,1.301931881904602,0.08396269785182404,2,0.4332003394197793,0.1444694142190629,200,1.7453083515167236,0.11191392939672624,2,0.36398041623889565,0.13597995634200835,30,0.4071220397949219,0.0054274977430695225,1,0.326472973056087,0.13322522860351765,50,0.6599358081817627,0.03468860968301057,1,0.294569167761235,0.11544673483245267,100.0,0.958400285243988,0.1096047920840588,1.0,0.27184337681707654,0.10128558175406059,200.0,2.573913264274597,0.4592781897225819,1.0
Health-ClosedPRs0011,10000,8.01875373874e-06,3.586095690930646e-05,30,0.4852303385734558,0.032888190663776,1,0.0,0.0,50,0.4429283499717712,0.022847050066577515,1,0.0,0.0,100,0.8883933186531067,0.03491806549054359,1,0.0,0.0,200,1.3749178171157836,0.27084694381219215,1,0.0,0.0,30,0.39955190420150755,0.00528019731175252,1,0.0,0.0,50,0.667655861377716,0.008183934121452003,1,0.0,0.0,100.0,1.3363574028015137,0.014617375905288846,1.0,0.0,0.0,200.0,3.593744623661041,0.18335815907904854,1.0
Health-Commits0000,10000,0.6403760163538976,0.33081879009345255,30,0.4041475415229797,0.026066208537982534,3,0.5458633937633224,0.3545633614823385,50,0.6417595505714416,0.03773206619722256,3,0.42917642265794453,0.3738835103261887,100,0.8648938179016114,0.048830182322756044,2,0.41491579160826186,0.3834535598341389,200,1.3470670461654664,0.23450530684045365,2,0.17019238556494468,0.06337471026556862,30,0.46382339000701905,0.003996519295391594,1,0.15915321296579843,0.05639204126947618,50,0.7400190472602844,0.013816652230993057,1,0.14932119734776061,0.06102243984208811,100.0,1.3213041782379151,0.08721442548218393,1.0,0.14568263438256965,0.06052661430016248,200.0,2.5513930201530455,0.3734482794393718,1.0
Health-Commits0001,10000,0.16503938767068194,0.0001262860883963919,30,0.40265231132507323,0.03455713267496968,3,0.164997717350629,9.880600498902759e-05,50,0.7828661680221558,0.06702309282249845,2,0.16478061105554248,0.0008029680671340862,100,0.8585148215293884,0.04568948092092905,1,0.164575113014331,0.00113780635724939,200,6.18559193611145,0.47597251697938864,1,0.16496231242538753,2.150984823944601e-05,30,0.4549585223197937,0.003979832815802519,2,0.16461133773401088,0.0010553807090559575,50,0.5514799952507019,0.006650237317852451,1,0.16458801189401032,0.001119241463482195,100.0,1.020308291912079,0.03604790321898038,1.0,0.1645795384544153,0.0011194678076791329,200.0,2.3285526633262634,0.28830017180083545,1.0
Health-Commits0002,10000,0.5125390720316879,0.09908383182616293,30,0.27312670946121215,0.02147467633341887,3,0.47537398673857345,0.06953575749084236,50,0.43324871063232423,0.02729267371467904,2,0.4570077185447389,0.1038205267468209,100,1.1796616196632386,0.16998440263368889,2,0.41648931947597073,0.13485739427676022,200,1.7280268669128418,0.0900820084259374,1,0.4776509133659953,0.07615985575983444,30,0.29866847991943357,0.004580888516926551,2,0.4590704961816165,0.09027058791003202,50,0.5305930852890015,0.024816472162437916,2,0.4008791701307864,0.12425127202762289,100.0,0.982473886013031,0.09200311283444176,1.0,0.33276368636787124,0.13795684115807394,200.0,1.4389159440994264,0.4320075503006589,1.0
Health-Commits0003,10000,0.4288318742980632,0.06071660723951893,30,0.26805742979049685,0.020219036783396666,3,0.4089318506188696,0.06289938342083995,50,0.43414061069488524,0.03416877901111097,3,0.37806828931045244,0.06512735963210525,100,0.8996610879898072,0.05426420925865636,2,0.35301344997084133,0.07753086379160722,200,2.7500182390213013,0.25337975835100507,1,0.3494359881619529,0.04202698480502926,30,0.3025655150413513,0.002547747129272863,1,0.32908802082510136,0.045024321320022646,50,0.7887949466705322,0.02021963386078806,1,0.3061463183717793,0.05375916649663952,100.0,1.4854283690452577,0.20009426253392698,1.0,0.28965500109020037,0.05717700034542899,200.0,1.532661497592926,0.3909555801158654,1.0
Health-Commits0004,10000,0.23268266893209008,0.02758367803352525,30,0.4118482232093811,0.02958572388849376,2,0.227871738988512,0.008650882589488488,50,0.6958932042121887,0.042567583058118634,2,0.22401473736524333,0.007673494833672907,100,1.1747573375701905,0.1680361567781359,2,0.21857088682194892,0.01097645854502369,200,1.825843584537506,0.0996336092568863,1,0.22460184275750344,0.0033935987360933606,30,0.4246274471282959,0.008502098626327313,2,0.22017930273334688,0.009633185481665389,50,0.4898570656776428,0.02196348998675245,1,0.2181715672322952,0.010478871196585112,100.0,1.2421025395393372,0.23884679050410484,1.0,0.21640023695465813,0.011682953100507192,200.0,2.995241606235504,0.6101852181308866,1.0
Health-Commits0005,10000,0.3663701412162891,0.14097459205664242,30,0.27572332620620726,0.02303169448185152,2,0.32941035810963804,0.14797996906871042,50,0.4317654252052307,0.02814098374702078,2,0.2758073922743816,0.12259539238432816,100,0.8763964414596558,0.050620743819191405,2,0.24715614201010183,0.11686661548699094,200,1.7311805129051208,0.24289446747351992,1,0.20576694471885154,0.0247645194151659,30,0.31463404893875124,0.0030906777307793377,1,0.1944819146758576,0.02446348987674934,50,0.5193217635154724,0.003920142439297934,1,0.18303140283810893,0.026074750993425825,100.0,1.0573839664459228,0.05609746020327474,1.0,0.17752703155629562,0.024201864282403854,200.0,2.4734131574630736,0.24569093061768923,1.0
