Dataset,Rows,TS-30_mean,TS-30_std,TS-30_budget,TS-30_runtime_mean,TS-30_runtime_std,TS-30_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedPRs0009,10000,0.6432018905170614,0.08353356912715143,30.0,0.2708306789398193,0.009466182235469321,2.0,0.6276124721442196,0.09918874542757293,50,0.804716956615448,0.05095318315453447,2,0.6083939083511795,0.12015561361408117,100,1.1761142373085023,0.06420081275780275,2,0.6013610698481029,0.1284870880399076,200,2.8771737217903137,0.2514679509954509,2,0.5855812691741719,0.139434069840827,30,0.32018495798110963,0.004663338685126694,2,0.5308717370911491,0.16271748261077654,50,0.7274855136871338,0.07021881223611702,1,0.4850391701888855,0.17486939197552107,100.0,1.2872346758842468,0.17402231297027676,1.0,0.4810666145335879,0.17655447388116743,200.0,2.339808797836304,0.5457193294440273,1.0
Health-ClosedPRs0010,10000,0.5409913651394651,0.07072711716650684,30.0,0.4101004958152771,0.019432627533269024,3.0,0.5258733527121016,0.08110500558422314,50,0.7172120094299317,0.04006358164189412,3,0.4981490432333491,0.1177781984890458,100,1.237144899368286,0.07687765050754432,3,0.4514325392931302,0.14628180006018918,200,2.0802145481109617,0.2888269090327411,2,0.36398041623889565,0.13597995634200835,30,0.4071220397949219,0.0054274977430695225,1,0.326472973056087,0.13322522860351765,50,0.6599358081817627,0.03468860968301057,1,0.294569167761235,0.11544673483245267,100.0,0.958400285243988,0.1096047920840588,1.0,0.27184337681707654,0.10128558175406059,200.0,2.573913264274597,0.4592781897225819,1.0
Health-ClosedPRs0011,10000,0.0,0.0,30.0,0.39246495962142947,0.0176645180227485,1.0,0.0,0.0,50,0.4452847480773926,0.018984824992598615,1,0.0,0.0,100,1.2447426319122314,0.16504885171641062,1,0.0,0.0,200,1.4996949076652526,0.30780645124377404,1,0.0,0.0,30,0.39955190420150755,0.00528019731175252,1,0.0,0.0,50,0.667655861377716,0.008183934121452003,1,0.0,0.0,100.0,1.3363574028015137,0.014617375905288846,1.0,0.0,0.0,200.0,3.593744623661041,0.18335815907904854,1.0
Health-Commits0000,10000,0.6797416629685706,0.30681815043357547,30.0,0.27021045684814454,0.014180798119571254,2.0,0.6343774742495379,0.3354099615542501,50,0.7305357813835144,0.03931467871503247,2,0.5228236146422814,0.3733392913279228,100,0.9036262154579162,0.04347290256194339,2,0.4888524376462823,0.4032218277859256,200,3.3200770258903503,0.15259210625377517,2,0.17019238556494468,0.06337471026556862,30,0.46382339000701905,0.003996519295391594,1,0.15915321296579843,0.05639204126947618,50,0.7400190472602844,0.013816652230993057,1,0.14932119734776061,0.06102243984208811,100.0,1.3213041782379151,0.08721442548218393,1.0,0.14568263438256965,0.06052661430016248,200.0,2.5513930201530455,0.3734482794393718,1.0
Health-Commits0001,10000,0.16503357432165863,0.000219718210741729,30.0,0.2701737642288208,0.011767571310321188,2.0,0.16478490265994664,0.0007895440724807612,50,0.4425760269165039,0.020821988001458687,2,0.16477001339683278,0.000845903497381762,100,0.8702115535736084,0.04585290602643332,2,0.16436684049193923,0.0014552435571719624,200,1.4954889059066772,0.28552813075871475,1,0.16496231242538753,2.150984823944601e-05,30,0.4549585223197937,0.003979832815802519,2,0.16461133773401088,0.0010553807090559575,50,0.5514799952507019,0.006650237317852451,1,0.16458801189401032,0.001119241463482195,100.0,1.020308291912079,0.03604790321898038,1.0,0.1645795384544153,0.0011194678076791329,200.0,2.3285526633262634,0.28830017180083545,1.0
Health-Commits0002,10000,0.4806679967003914,0.06973226116461066,30.0,0.26489791870117185,0.010219178922233988,2.0,0.474695683640771,0.08558474204270124,50,0.4462414622306824,0.026442701810251493,2,0.4722191507665142,0.09011322170847191,100,1.1815923690795898,0.15950264195061312,2,0.403238782850133,0.13890403161396864,200,1.6599360346794128,0.10114218836297313,1,0.4776509133659953,0.07615985575983444,30,0.29866847991943357,0.004580888516926551,2,0.4590704961816165,0.09027058791003202,50,0.5305930852890015,0.024816472162437916,2,0.4008791701307864,0.12425127202762289,100.0,0.982473886013031,0.09200311283444176,1.0,0.33276368636787124,0.13795684115807394,200.0,1.4389159440994264,0.4320075503006589,1.0
Health-Commits0003,10000,0.4280977001416888,0.05729902452567538,30.0,0.2722740054130554,0.011625643605763111,2.0,0.391074186107444,0.07026483589430563,50,0.4450823307037354,0.026468655444015728,2,0.3470874658419405,0.07006865482971507,100,1.2973082900047301,0.12195498312794462,1,0.3209086627153344,0.07773593034393006,200,1.38384770154953,0.2753620021116929,1,0.3494359881619529,0.04202698480502926,30,0.3025655150413513,0.002547747129272863,1,0.32908802082510136,0.045024321320022646,50,0.7887949466705322,0.02021963386078806,1,0.3061463183717793,0.05375916649663952,100.0,1.4854283690452577,0.20009426253392698,1.0,0.28965500109020037,0.05717700034542899,200.0,1.532661497592926,0.3909555801158654,1.0
Health-Commits0004,10000,0.24144932551713166,0.06759580768278933,30.0,0.421559202671051,0.021473812689725588,2.0,0.22778087917838138,0.010501755296131753,50,0.46143213510513303,0.02025258782705539,1,0.22489801685778127,0.003033457780629781,100,0.9093565702438354,0.027056158097144154,1,0.22299391582982495,0.00771528467224259,200,1.8998820781707764,0.08548816757757524,1,0.22460184275750344,0.0033935987360933606,30,0.4246274471282959,0.008502098626327313,1,0.22017930273334688,0.009633185481665389,50,0.4898570656776428,0.02196348998675245,1,0.2181715672322952,0.010478871196585112,100.0,1.2421025395393372,0.23884679050410484,1.0,0.21640023695465813,0.011682953100507192,200.0,2.995241606235504,0.6101852181308866,1.0
Health-Commits0005,10000,0.36316709068936437,0.14604925215577685,30.0,0.2702375888824463,0.011800070042335844,2.0,0.3308542214180258,0.14567310207341028,50,0.7899300694465637,0.06654575753969326,2,0.27166189188855505,0.134187321122659,100,1.079612410068512,0.15293250909571604,2,0.22461512112575416,0.11979652648762502,200,1.6054201245307922,0.3007067957412052,1,0.20576694471885154,0.0247645194151659,30,0.31463404893875124,0.0030906777307793377,1,0.1944819146758576,0.02446348987674934,50,0.5193217635154724,0.003920142439297934,1,0.18303140283810893,0.026074750993425825,100.0,1.0573839664459228,0.05609746020327474,1.0,0.17752703155629562,0.024201864282403854,200.0,2.4734131574630736,0.24569093061768923,1.0
Health-Commits0006,10000,0.3111205965982284,0.023355407372195998,30.0,0.26841259002685547,0.014403430985665482,3.0,0.3037520929479082,0.021230508390412732,50,0.4417638063430786,0.023207223438139378,3,0.29286785518504366,0.020978476518693587,100,0.8771968603134155,0.04237845490759596,2,0.2807630695656,0.02804888207443273,200,2.0675932645797728,0.1978515009555819,2,0.28440080211303725,0.026140331893990235,30,0.31587847471237185,0.007772255756505773,2,0.2701941210966686,0.03233426657018998,50,0.4883693218231201,0.052386540056994516,1,0.2600385803981879,0.03305103578466362,100.0,1.198129904270172,0.2661271801558045,1.0,0.25274249816350436,0.03242040316049632,200.0,2.7770449995994566,0.8733487077845914,1.0
Health-Commits0007,10000,0.4277912989352456,0.1315266134061577,30.0,0.4135961413383484,0.024708275394990514,3.0,0.38360338551965223,0.14054601024886326,50,0.4393215298652649,0.02483983803252113,3,0.3096811451369903,0.10951782365492248,100,1.796454381942749,0.09943512211208821,2,0.29070436137111716,0.11489729656511324,200,1.720019805431366,0.10711354348322341,2,0.2016037318926967,0.026359451005439048,30,0.3120866060256958,0.0017344977906114546,1,0.19761766254080604,0.027526784436807707,50,0.9791999816894531,0.05619781246782147,1,0.18537263892820804,0.0260581084744448,100.0,0.9808330655097961,0.05105558638051283,1.0,0.17799935850683474,0.02455747147176098,200.0,1.8934942841529847,0.2545610353280103,1.0
Health-Commits0008,10000,0.40990084782385183,0.026165157692468792,30.0,0.5141464114189148,0.022510158591502766,3.0,0.39729145930378196,0.021788411234340027,50,0.7175504326820373,0.05923602160103217,3,0.3837327407835373,0.02126541350696077,100,0.9969799160957337,0.06640735780726414,2,0.3596398297141118,0.04097337252493184,200,3.2929331421852113,0.26241886490040955,1,0.3664522893550763,0.033229148147520114,30,0.3030000805854797,0.003246185022038081,1,0.3444769457689582,0.042400071704566736,50,0.5230636477470398,0.031123206237453606,1,0.3313046775013946,0.04374833889067945,100.0,0.9398550391197205,0.11547152403102288,1.0,0.3184044074689435,0.041202338239389145,200.0,1.403092896938324,0.4042564966761775,1.0
Health-Commits0009,10000,0.15358411958955256,0.03588616916142322,30.0,0.35703052282333375,0.019790609132946398,2.0,0.14509000720207596,0.012568736397349274,50,0.774125874042511,0.07814679087553623,2,0.13917110299237692,0.007520209888490509,100,0.8997765779495239,0.04204144466981196,1,0.13509973333693095,0.007898727509179826,200,2.3969537377357484,0.10769200286318627,1,0.13704508851471453,0.008234634109645964,30,0.559257197380066,0.004235419606132559,1,0.13465744858259365,0.008516719955308897,50,0.5034944176673889,0.01581997592686401,1,0.1321664244223698,0.009111315824838071,100.0,1.4961316585540771,0.12575097477952968,1.0,0.12852862125496187,0.009227421380728101,200.0,1.6268143892288207,0.2913602989962347,1.0
